,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat
14093,466407.7296387253,7194633.137094385,148.7438820319282,0.08307660508901005,148.99394,3,0.25006022881399304,0.166983623724983,-147.70903605752508,64.87429339069828
14094,466405.43322195596,7194613.26582902,149.1064280659611,0.024358700903191824,149.02719,3,-0.07923690385172222,-0.10359560475491404,-147.70907982440542,64.8741148696951
14095,466400.97059253603,7194573.509417176,148.91982597145827,0.10882916250056726,148.94919,3,0.029362260963608833,-0.07946690153695843,-147.70916460523708,64.873757716186
14101,466387.46128267987,7194454.251949669,148.2590994980332,0.027568623561687395,148.28856,3,0.02945946192772908,0.0018908383660416854,-147.70942149964293,64.872686348653
14102,466385.08957578824,7194434.38904928,148.28107504981247,0.1143548383780377,148.16704,3,-0.11403708594528439,-0.2283919243233221,-147.7094668522962,64.87250789498262
14103,466375.66384554876,7194354.932407767,147.8651288991204,0.02578558253115837,147.69354,3,-0.1715864186516569,-0.19737200118281528,-147.70964696641963,64.87179404105387
14104,466373.425215873,7194335.054788692,147.9773244965208,0.08182074820357862,148.80058,3,0.8232583892213938,0.7414376410178152,-147.70968950428818,64.87161546862708
14105,466366.7664109625,7194275.415250097,147.28515211517916,0.008756994834623135,147.22478,3,-0.06037489349947123,-0.06913188833409437,-147.7098159083402,64.8710796970495
14106,466362.44070348615,7194235.642591119,147.28626385751997,0.049905827820749794,147.15662,3,-0.12964764658246963,-0.17955347440321942,-147.70989777684773,64.87072241100344
14107,466360.27014946484,7194215.757293753,147.02503735198852,0.0025415870532286052,147.18318,3,0.15814441070679663,0.15560282365356803,-147.70993887303376,64.87054377644336
14108,466358.0799785871,7194195.8727667,146.9448432545251,0.03533545391267298,147.09778,3,0.15293506578740335,0.11759961187473036,-147.70998038281968,64.87036514680499
14109,466355.85432231065,7194175.994384364,146.99925711636624,0.06501624336678707,146.98381,3,-0.015446691561550097,-0.08046293492833717,-147.71002264232658,64.8701865687111
