,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat
2012,466347.87268041587,7194106.276911363,146.65453559503624,0.051311567284669124,146.49875,3,-0.15578681573936137,-0.2070983830240305,-147.71017456054688,64.86956024169923
2013,466335.9106089974,7194006.922426535,146.47728607859182,0.08636119750341126,146.2915,3,-0.18578217234181693,-0.2721433698452282,-147.7104034423828,64.86866760253906
2015,466312.707430184,7193808.205506685,146.1084757608927,0.011085820907047732,145.92038,3,-0.18809612222082706,-0.1991819431278748,-147.71084594726562,64.86688232421875
