time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,land_cover_value,land_cover,lon,lat,geometry
2022-10-17 15:46:22.356041984,466408.9005693704,7194643.096588335,149.16559092770848,0.06716885338556723,149.06696973831478,0.018414154488642233,-0.013520078388118362,3,-0.0986211893936968,-0.165790042779264,31.0,Barren Land,-147.7090136999536,64.87438286756739,POINT (-147.7090136999536 64.87438286756739)
2022-10-17 15:46:22.413701632,466362.44273488695,7194235.660184642,147.28584479131533,0.04989755679867729,147.23732732386296,0.06348020368606688,-0.02604728064542717,3,-0.04851746745237051,-0.0984150242510478,31.0,Barren Land,-147.7098977381452,64.87072256906158,POINT (-147.7098977381452 64.87072256906158)
2022-10-17 15:46:22.423578112,466354.73048121005,7194166.0820072545,146.93136813771983,0.051520755044014335,146.86747061357255,0.05733598798551776,-0.018583054829744896,3,-0.06389752414727923,-0.11541827919129356,31.0,Barren Land,-147.71004401061495,64.87009751913237,POINT (-147.71004401061495 64.87009751913237)
2022-10-17 15:46:22.425005824,466353.59731770784,7194156.1365344515,146.88065603520553,0.05066518290577201,146.8244712680229,0.05544791205717154,0.0017823070430694318,3,-0.05618476718262855,-0.10684995008840056,31.0,Barren Land,-147.7100655676468,64.87000817166788,POINT (-147.7100655676468 64.87000817166788)
2022-10-17 15:46:22.427860224,466351.3141565181,7194136.263737044,146.7925847207901,0.04927891934781321,146.75931711628203,0.05880897391447321,-0.024829121283508723,3,-0.03326760450806887,-0.08254652385588208,31.0,Barren Land,-147.71010904081248,64.86982963786232,POINT (-147.71010904081248 64.86982963786232)
2022-10-17 15:46:22.429287168,466350.1587495449,7194126.337815112,146.70675857917337,0.037891285028814434,146.56815070130483,0.05335842584591637,-0.005119955144509609,3,-0.13860787786853734,-0.1764991628973518,11.0,Open Water,-147.71013107142085,64.86974046356167,POINT (-147.71013107142085 64.86974046356167)
2022-10-17 15:46:22.430715136,466349.0016520401,7194116.395074798,146.60870102664816,0.08680620688762818,146.56221497595385,0.046012042339197715,0.005418879915458277,3,-0.04648605069431255,-0.13329225758194074,11.0,Open Water,-147.71015313357506,64.86965113818768,POINT (-147.71015313357506 64.86965113818768)
2022-10-17 15:46:22.432139776,466347.8388632913,7194106.469035411,146.65422372991142,0.04914864870377056,146.50220329098553,0.049583894446567876,-0.006482312606111768,3,-0.1520204389258879,-0.20116908762965846,11.0,Open Water,-147.71017531963284,64.86956196208159,POINT (-147.71017531963284 64.86956196208159)
2022-10-17 15:46:22.434987776,466345.5047349422,7194086.602545842,146.73358302077582,0.0274605609456664,146.62059405816035,0.04616921662106782,-0.005575946615626405,3,-0.11298896261547497,-0.14044952356114138,11.0,Open Water,-147.71021986833372,64.86938347969821,POINT (-147.71021986833372 64.86938347969821)
2022-10-17 15:46:22.436409600,466344.322794764,7194076.661606318,146.65932644796564,0.07380550346983622,146.48155553626222,0.05867907527135984,-0.019885722835444562,3,-0.1777709117034192,-0.2515764151732554,31.0,Barren Land,-147.71024245454478,64.86929416796298,POINT (-147.71024245454478 64.86929416796298)
