time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,lon,lat,land_cover_value,land_cover,forest_cover
2022-03-21 01:50:31.763539456,468292.06968124775,7194740.355419312,164.66292249220294,0.8909272781385993,165.2134602879649,0.016279057658362614,-0.006237010388936274,5,0.5505377957619544,-0.3403894823766449,-147.66929039096013,64.87543951143365,42.0,Evergreen Forest,10.214328504433034
2022-03-21 01:50:31.764960256,468290.83950169996,7194730.435805035,164.47248447238445,0.9874090630070129,165.22920569071084,0.012681994586543106,0.010632269884097264,5,0.7567212183263905,-0.23068784468062242,-147.6693141409629,64.87535039261657,42.0,Evergreen Forest,12.821508376585488
2022-03-21 01:50:31.766384384,468289.6056987013,7194720.498858574,164.59142039573607,0.9918486734730448,165.34555191813874,0.01564908981811139,0.009413730973350517,5,0.7541315224026732,-0.2377171510703716,-147.66933796341746,64.87526111794082,42.0,Evergreen Forest,17.6482717203445
2022-03-21 01:50:31.767804416,468288.37264093297,7194710.579620577,164.81441187056507,0.7975051621746284,165.3821551188746,0.019406094334343434,-0.004871650802397689,5,0.5677432483095401,-0.22976191386508826,-147.66936177394012,64.87517200221728,42.0,Evergreen Forest,23.749955789737566
2022-03-21 01:50:31.769227264,468287.13692074385,7194700.642829831,164.39242257634965,0.9470170986114449,165.28664631445508,0.02154468220117141,-0.013809586015610767,5,0.8942237381054383,-0.05279336050600658,-147.66938563658076,64.87508272874722,42.0,Evergreen Forest,28.141368080367908
2022-03-21 01:50:31.770646016,468285.9055884633,7194690.723326597,164.5211877021322,0.8509046258601234,165.2969415811175,0.01852454880734161,0.013807381149020897,5,0.7757538789852845,-0.07515074687483891,-147.66940941031365,64.87499361079821,43.0,Mixed Forest,28.375643821593766
2022-03-21 01:50:31.772065536,468284.67541775573,7194680.78593312,164.760458480069,0.8430924584605131,165.4184167058338,0.016931100397392783,0.006278803257471931,5,0.6579582257648156,-0.1851342326956975,-147.66943315538023,64.87490433243754,43.0,Mixed Forest,24.073322217623662
2022-03-21 01:50:31.773481216,468283.4505302831,7194670.865693645,164.75319083633605,0.9022428235869983,165.45183235023106,0.019538220421229612,-0.004863644227566521,5,0.6986415138950122,-0.2036013096919861,-147.66945679261443,64.87481520848502,43.0,Mixed Forest,19.227242935523588
2022-03-21 01:50:31.774897408,468282.2286055168,7194660.927310128,164.6543336011609,0.7841706383799784,165.5600335090266,0.023389278010849567,0.01931776195625462,5,0.90569990786571,0.12152926948573162,-147.6694803631123,64.87472592201472,43.0,Mixed Forest,18.304056573574005
2022-03-21 01:50:31.776309248,468281.0144702602,7194651.005782011,165.05721754298477,0.8050053685111476,165.69656597636896,0.02298257877820291,0.0018873220103221842,5,0.6393484333841855,-0.1656569351269621,-147.66950377281677,64.87463678751145,43.0,Mixed Forest,23.771495256223474
2022-03-21 01:50:31.779130368,468278.6014940069,7194631.14315399,164.93837758447546,0.9455346281259505,165.77013071569013,0.020462160070496282,0.02523364436507394,5,0.8317531312146684,-0.11378149691128203,-147.66955026460212,64.87445834433846,43.0,Mixed Forest,37.254012323993734
2022-03-21 01:50:31.780538368,468277.4057743005,7194621.201680836,165.24888890152252,1.0006207591872938,166.04352300234322,0.022781140059838306,0.03475351860777611,5,0.7946341008207014,-0.20598665836659236,-147.6695732807255,64.87436903261623,43.0,Mixed Forest,36.49137786101182
2022-03-21 01:50:31.781944576,468276.21090311307,7194611.277758423,165.88915484209897,0.9912218127278569,166.4031456702254,0.024358303837133503,0.04127984658758902,5,0.513990828126424,-0.4772309846014329,-147.66959628270885,64.87427987844117,43.0,Mixed Forest,32.74353620062685
2022-03-21 01:50:31.783345920,468275.03577168105,7194601.333857404,165.92773158416006,0.7462880323557232,166.62300316354307,0.023562536892545,0.01779327834018454,5,0.695271579383018,-0.051016452972705184,-147.66961886346704,64.87419054688107,43.0,Mixed Forest,31.661975938890464
2022-03-21 01:50:31.786134016,468272.73606779985,7194581.457551492,166.2355048552639,0.6907139933836514,166.8194716412764,0.022290391099712713,0.03875589124932939,5,0.5839667860124962,-0.10674720737115517,-147.66966296005288,64.8740119916954,41.0,Deciduous Forest,48.41736504364444
