,lat,lon,x,y,beam,is2_height,lidar_height,lidar_snow_depth,is2_snow_depth,geometry,snow_depth_residual
6265,64.88749,-147.6662,468452.67208459636,7196081.657433077,5,172.77786,171.66711480828397,1.0444332996894936,1.1107477405441557,POINT (-147.66619873046875 64.88748931884766),0.0663144408546621
6266,64.8866,-147.66643,468440.7861468375,7195982.294527634,5,173.94513,173.03925402115024,0.9836206990861655,0.9058753733810079,POINT (-147.6664276123047 64.8865966796875),-0.07774532570515758
6267,64.885704,-147.66666,468428.89949750016,7195882.931679178,5,176.58006,175.64677415997457,0.8288663954850392,0.9332887062363682,POINT (-147.66665649414062 64.88570404052734),0.10442231075132902
6268,64.88481,-147.66689,468417.0121365939,7195783.568887709,5,178.62152,177.73443191078815,0.8006573176687053,0.8870890853056039,POINT (-147.66688537597656 64.88481140136719),0.08643176763689864
6269,64.88392,-147.6671,468405.8467073786,7195684.198534537,5,178.99413,177.8670952244904,0.7495932763420714,1.1270301417205246,POINT (-147.66709899902344 64.88391876220703),0.3774368653784532
6270,64.883026,-147.66733,468393.9579473279,7195584.835854238,5,180.08234,179.14495068941702,0.6420316277787327,0.9373857363642344,POINT (-147.66732788085938 64.88302612304688),0.2953541085855017
6272,64.88124,-147.6678,468369.4555774497,7195386.118291768,5,175.91689,175.1362827117788,0.528229616355919,0.7806026641977724,POINT (-147.6678009033203 64.88124084472656),0.2523730478418533
6273,64.88035,-147.66801,468358.28739794303,7195286.748155342,5,166.99817,166.20630269310428,0.8632501132202013,0.7918662522082229,POINT (-147.6680145263672 64.8803482055664),-0.07138386101197836
6274,64.879456,-147.66826,468345.6730286806,7195187.3933358025,5,166.19199,165.17769134616142,1.0343870458533264,1.0142947378229508,POINT (-147.6682586669922 64.87945556640625),-0.02009230803037565
6275,64.87856,-147.6685,468333.0578999781,7195088.038579069,5,165.04425,164.04677951670476,0.9301757048651474,0.9974709715764902,POINT (-147.6685028076172 64.8785629272461),0.06729526671134278
6276,64.87767,-147.66873,468321.1648228561,7194988.676246421,5,165.5362,165.13328059379168,0.47532626806478473,0.40291325386456833,POINT (-147.66873168945312 64.87767028808594),-0.0724130142002164
6277,64.87678,-147.66895,468309.9938692219,7194889.306329426,5,165.56346,164.41271126242918,0.8548918163724527,1.1507500412817535,POINT (-147.6689453125 64.87677764892578),0.2958582249093008
6278,64.875885,-147.66917,468298.0993930882,7194789.944108001,5,164.99332,163.79692041891306,0.9889073008002858,1.1963962314775642,POINT (-147.66917419433594 64.87588500976562),0.20748893067727847
6279,64.87499,-147.6694,468286.20420547656,7194690.581943595,5,165.33089,164.32731271064557,0.7907588615846035,1.0035741301747407,POINT (-147.66940307617188 64.87499237060547),0.21281526859013722
6280,64.8741,-147.66965,468273.5853995203,7194591.227486009,5,166.70697,165.47312666810075,0.868462412358494,1.2338435467430031,POINT (-147.66964721679688 64.87409973144531),0.36538113438450914
6281,64.87321,-147.66986,468262.4116958563,7194491.8577858545,5,167.81544,167.11622353563197,0.6288689105529708,0.6992214106570884,POINT (-147.66986083984375 64.87320709228516),0.07035250010411764
6282,64.872314,-147.67009,468250.5143738657,7194392.4957925305,5,168.82718,168.024988542416,0.5812084957950832,0.802190412662128,POINT (-147.6700897216797 64.872314453125),0.22098191686704483
6283,64.87142,-147.67033,468237.8933616587,7194293.1415144745,5,169.65646,168.69690562816683,0.8848495247298989,0.9595579948800435,POINT (-147.6703338623047 64.87142181396484),0.07470847015014459
6285,64.86964,-147.67079,468214.0951125645,7194094.417818627,5,170.86403,169.77320857968027,0.9354393628165774,1.0908203509837904,POINT (-147.67079162597656 64.86963653564453),0.15538098816721302
6286,64.868744,-147.67102,468202.1949208856,7193995.056056263,5,170.64319,170.1723441275388,0.22899709614731595,0.4708443490237073,POINT (-147.6710205078125 64.86874389648438),0.24184725287639136
6287,64.86785,-147.67123,468191.0170924257,7193895.686681457,5,174.15701,173.4362079242434,0.9550188351066937,0.7208050152097201,POINT (-147.67123413085938 64.86785125732422),-0.23421381989697365
6292,64.863396,-147.67238,468131.5110590717,7193399.729224328,5,184.95683,183.53774700997425,0.6464153265234768,1.4190858757679337,POINT (-147.67237854003906 64.86339569091797),0.7726705492444569
6293,64.8625,-147.67262,468118.8826964701,7193300.3755447725,5,174.16434,172.8617033858879,0.7308995646534833,1.3026337723152324,POINT (-147.67262268066406 64.86250305175781),0.5717342076617491
6294,64.86161,-147.67284,468107.7000589224,7193201.006549542,5,175.58401,174.884625909738,0.6754534962683207,0.6993889828401336,POINT (-147.67283630371094 64.86161041259766),0.02393548657181288
6296,64.859825,-147.67331,468083.16292331147,7193002.291797852,5,167.32344,166.4120048333418,0.7952403573152181,0.9114357184160156,POINT (-147.67330932617188 64.85982513427734),0.11619536110079742
