,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat
29964,466022.0751902008,7196181.246753238,163.88470457568047,5.758805949547063,163.95483,1,0.07012940869452677,-5.688676540852536,-147.71754584704257,64.88814440024416
29966,466017.3745885883,7196141.508111053,162.7237151448365,0.008831765511677189,163.01576,1,0.2920471842650727,0.2832154187533955,-147.71763558774666,64.88778737787882
29968,466012.6154117913,7196101.776591641,161.79241598990137,0.0016807353896888606,161.8171,1,0.02467690560644087,0.02299617021675201,-147.7177265646412,64.88743041339049
29970,466007.77144752705,7196062.05509656,161.008299614845,0.0411647069801707,161.3466,1,0.33830377870970096,0.29713907172953025,-147.71781933184877,64.88707353014239
29973,466000.3225479996,7196002.804765399,160.0209505411199,0.06100699221273831,160.46083,1,0.4398801473566607,0.3788731551439224,-147.7179624206211,64.88654116449362
29975,465995.14404808613,7195962.81347133,160.18083686176988,0.03835350952376244,160.21666,1,0.03582268412856138,-0.00253082539520106,-147.71806218058677,64.88618182630245
29976,465992.55301041924,7195942.973036446,159.4807675515854,0.02339097929014654,159.78653,1,0.3057619894302377,0.28237101014009114,-147.71811213451986,64.88600354959293
29988,465964.84643990686,7195704.481581485,155.4948036443212,0.15804295162763302,155.72804,1,0.23323895821786778,0.07519600659023476,-147.7186399483307,64.88386092768788
29994,465949.82541344315,7195585.375860636,154.056227470124,0.0009147658782803334,154.12642,1,0.07019159725879831,0.06927683138051798,-147.7189285107469,64.88279075296947
30015,465899.1815288446,7195168.27433609,150.21452891596746,0.03623731533844248,150.42534,1,0.21080982914972424,0.17457251381128175,-147.7198975108273,64.87904325592608
30017,465894.3931531591,7195128.546216639,150.1430397152683,0.0363171565241405,150.43462,1,0.2915763735989003,0.25525921707475985,-147.71998904596165,64.87868631722435
30018,465892.0341198809,7195108.677964269,150.20720189617444,0.01218933231424303,150.50836,1,0.30115992023181093,0.2889705879175679,-147.720034069564,64.87850781381863
30019,465889.6668996562,7195088.810661646,150.3312175952094,0.01593268768533266,150.49533,1,0.1641132153374656,0.14818052765213294,-147.72007926561608,64.8783293180811
30020,465887.2838730278,7195068.945243619,150.1757402716744,0.054869614811440676,150.42807,1,0.25232979668496114,0.19746018187352046,-147.7201247951716,64.87815083762129
30021,465884.87900256895,7195049.0824851375,149.77481690961994,0.07505977428526994,150.25388,1,0.4790588228019317,0.40399904851666174,-147.72017078584818,64.87797237877545
30022,465882.44960976235,7195029.222659686,150.26037248621202,0.010191556385745974,150.24283,1,-0.01754411707139525,-0.027735673457141223,-147.72021729424011,64.8777939437234
30023,465879.9941172888,7195009.365861708,149.78744977779505,0.04303027891084905,150.19963,1,0.41218095950964084,0.3691506805987918,-147.7202643536536,64.87761553315096
30026,465872.37516605016,7194949.825988449,149.54947105649777,0.009477459156421153,149.74518,1,0.19570716615848482,0.18622970700206368,-147.72041086456264,64.87708054937222
30027,465869.8246265908,7194929.9807289,149.46826506571657,0.011726847116258784,149.67027,1,0.20200776143187227,0.19028091431561348,-147.72045993041579,64.87690223254037
30030,465862.3273870597,7194870.426179656,149.17678165271835,0.012349461912200023,149.32852,1,0.151740075797278,0.13939061388507798,-147.7206038611688,64.87636712928543
30034,465853.0007575679,7194790.939971056,148.84765614613502,0.025457284931980052,148.84706,1,-0.0005949889084604365,-0.02605227384044049,-147.72078160617207,64.87565300739193
30035,465850.7041047231,7194771.064245737,148.781012808161,0.03053648184818221,148.84937,1,0.06835242621400539,0.03781594436582318,-147.72082530115568,64.87547444301123
30036,465848.3947388313,7194751.189958342,148.73992868724784,0.0802402626070186,148.86653,1,0.1266026848224726,0.046362422215454016,-147.72086926423202,64.875295890216
30037,465846.0615495518,7194731.318670309,148.41615423362907,0.04529983035758627,148.66766,1,0.2515093405896778,0.2062095102320915,-147.72091373026336,64.87511736187996
30042,465833.79025052517,7194632.034212788,148.39450190393038,0.0997048060226082,148.63545,1,0.24095036657743663,0.14124556055482843,-147.72114884498092,64.87422530389534
