time,lat,lon,x,y,beam,is2_height,n_fit_photons,h_sigma,dh_fit_dx,lidar_height,lidar_snow_depth,is2_snow_depth,geometry,snow_depth_residual
2022-03-21 01:50:31.567496192,64.88784368779102,-147.66610734829348,468457.415032082,7196121.103284029,50,172.46766657218927,146,0.024827965363695068,0.018891068166364197,171.57476866618867,11.089667545728966,0.8928979060005986,POINT (-147.66610734829348 64.88784368779102),-10.196769639728368
2022-03-21 01:50:31.568905472,64.8877543790134,-147.6661304387908,468456.21686598577,7196111.162090061,50,172.57115856052224,144,0.01951573632211505,0.010079529429270623,171.72741539707775,0.7318617013768486,0.8437431634444863,POINT (-147.6661304387908 64.8877543790134),0.11188146206763772
2022-03-21 01:50:31.570313472,64.8876652249714,-147.66615344483444,468455.0228733485,7196101.238098536,50,172.5813525110236,152,0.018994762295610194,0.0005846222609651637,171.70409854283642,0.9042290998965122,0.8772539681871763,POINT (-147.66615344483444 64.8876652249714),-0.026975131709335964
2022-03-21 01:50:31.571720960,64.88757591186658,-147.6661764432043,468453.8290503127,7196091.296377561,50,172.58459105436967,128,0.02018216569463685,0.0063425203692051065,171.72382245899965,0.8634194108257638,0.8607685953700184,POINT (-147.6661764432043 64.88757591186658),-0.0026508154557454144
2022-03-21 01:50:31.573131264,64.88748675314667,-147.66619933499516,468452.64044809114,7196081.371808908,50,172.71253569511308,145,0.02029546791299153,0.01971172438325485,171.74792141417268,0.9727344899686897,0.9646142809403955,POINT (-147.66619933499516 64.88748675314667),-0.008120209028294245
2022-03-21 01:50:31.574544128,64.88739743333794,-147.6662222030597,468451.4527732543,7196071.429277016,50,172.95196023933843,183,0.017523091906357334,0.026792953547483647,172.07761130549227,0.9754752519919437,0.8743489338461643,POINT (-147.6662222030597 64.88739743333794),-0.10112631814577944
2022-03-21 01:50:31.575954176,64.88730826941205,-147.66624499548297,468450.26885607623,7196061.5040797945,50,173.14207043908632,186,0.015095185597118652,0.012089467496464938,172.27186151305514,0.9373008761855336,0.8702089260311823,POINT (-147.66624499548297 64.88730826941205),-0.06709195015435132
2022-03-21 01:50:31.577369088,64.88721894754588,-147.66626779553846,468449.0843850716,7196051.561285845,50,173.27163751670363,190,0.013971965033724259,0.01637323237940423,172.34815655394831,0.9621133250028338,0.9234809627553204,POINT (-147.66626779553846 64.88721894754588),-0.03863236224751332
2022-03-21 01:50:31.578781696,64.88712978106038,-147.66629051921151,468447.90370628826,7196041.635770229,50,173.40098760565166,186,0.0170996684815591,0.010811548150067856,172.45966904674154,0.9434927730646585,0.9413185589101261,POINT (-147.66629051921151 64.88712978106038),-0.00217421415453245
2022-03-21 01:50:31.580197888,64.887040455051,-147.66631325735432,468446.7221480456,7196031.69248481,50,173.49181445215055,182,0.02061322255764282,0.009587391854078624,172.54112606190233,0.9382131523540129,0.9506883902482173,POINT (-147.66631325735432 64.887040455051),0.01247523789420435
2022-03-21 01:50:31.581611776,64.88695128827199,-147.66633597799412,468445.5415984338,7196021.766936099,50,173.55436732600998,197,0.021613747378568356,0.007045512634668625,172.70055288030778,0.8931464087589197,0.8538144457021986,POINT (-147.66633597799412 64.88695128827199),-0.03933196305672115
2022-03-21 01:50:31.583029504,64.88686196029082,-147.66635865311025,468444.36300830153,7196011.823400641,50,173.62369057593344,205,0.020717761094468216,0.008543842621136161,172.541400166772,0.9451968111052124,1.0822904091614305,POINT (-147.66635865311025 64.88686196029082),0.13709359805621812
2022-03-21 01:50:31.584447232,64.88677278335096,-147.6663811662693,468443.192257723,7196001.896617244,50,173.7319388101614,183,0.020073788823297706,0.010231014419955603,172.81964410896887,0.926629826220947,0.9122947011925362,POINT (-147.6663811662693 64.88677278335096),-0.014335125028410833
2022-03-21 01:50:31.585868032,64.88668344881378,-147.66640369648653,468442.02050740534,7195991.952280026,50,173.84618723191113,178,0.01985768663308923,0.008754767881017774,172.8488717767116,0.935958769187653,0.9973154551995265,POINT (-147.66640369648653 64.88668344881378),0.061356686011873496
2022-03-21 01:50:31.587288064,64.88659427148517,-147.66642619580446,468440.8503978174,7195982.025447513,50,173.9815527483501,190,0.020505905819843063,0.015431417632146312,173.03465984065954,0.9856087304333614,0.9468929076905681,POINT (-147.66642619580446 64.88659427148517),-0.03871582274279328
2022-03-21 01:50:31.588709376,64.88650493714391,-147.6664487461403,468439.6776810119,7195972.081143282,50,174.1969966716793,171,0.026057631044872062,0.02698949803647512,173.1246802379133,0.9445445744345812,1.072316433765991,POINT (-147.6664487461403 64.88650493714391),0.12777185933140978
2022-03-21 01:50:31.590128384,64.88641576210196,-147.6664712880721,468438.50554215134,7195962.154587964,50,174.4109124287392,164,0.030435513075209877,0.023529653804450504,173.54448871428028,0.840820670214068,0.8664237144589322,POINT (-147.6664712880721 64.88641576210196),0.025603044244864148
2022-03-21 01:50:31.591547904,64.88632643170678,-147.66649390632617,468437.3295996949,7195952.210758478,50,174.64709649296623,169,0.03088411365576,0.03349938154235895,173.68217431706887,0.8523616191212244,0.9649221758973567,POINT (-147.66649390632617 64.88632643170678),0.1125605567761323
2022-03-21 01:50:31.592967424,64.8862372599728,-147.66651652473126,468436.1538293018,7195942.284611069,50,174.93185458148378,187,0.027557847093208104,0.027517089346523724,173.95513138435655,0.9242431653352405,0.9767231971272281,POINT (-147.66651652473126 64.8862372599728),0.05248003179198757
2022-03-21 01:50:31.594385152,64.88614793334446,-147.66653923986746,468434.9732893257,7195932.341250818,50,175.16286747055253,213,0.02409433855202593,0.020841178706345557,174.13832914244745,0.9495129061858404,1.0245383281050806,POINT (-147.66653923986746 64.88614793334446),0.07502542191924022
2022-03-21 01:50:31.595801856,64.88605876671046,-147.6665619683381,468433.79229865427,7195922.415727785,50,175.40387353311914,199,0.024537756734179746,0.03191889479965447,174.45751075483906,0.9476717581153699,0.9463627782800756,POINT (-147.6665619683381 64.88605876671046),-0.0013089798352942106
2022-03-21 01:50:31.597219840,64.88596944482018,-147.66658478242758,468432.6070641271,7195912.472946041,50,175.71336148614395,192,0.027148916549470846,0.03293669746220668,174.7609641274144,0.9540711745063775,0.9523973587295416,POINT (-147.66658478242758 64.88596944482018),-0.0016738157768358963
2022-03-21 01:50:31.598633984,64.88588028270262,-147.66660760862294,468431.4214368001,7195902.547976213,50,176.061428900621,207,0.030230798667985392,0.03249519546630076,174.9988039940178,1.0106212470809424,1.0626249066031903,POINT (-147.66660760862294 64.88588028270262),0.05200365952224795
2022-03-21 01:50:31.600047360,64.88579096631646,-147.66663053611444,468430.23082429636,7195892.60586557,50,176.34048616507894,174,0.033448884372768974,0.019496406825696318,175.456187730399,0.8990286019336339,0.8842984346799483,POINT (-147.66663053611444 64.88579096631646),-0.014730167253685589
2022-03-21 01:50:31.601459968,64.88570180312209,-147.6666533393497,468429.04626880627,7195882.68076542,50,176.52072801090492,143,0.03353107312001635,0.015968484506626458,175.5429852948288,0.9096151102019031,0.9777427160761079,POINT (-147.6666533393497 64.88570180312209),0.06812760587420474
2022-03-21 01:50:31.602871808,64.8856124921467,-147.66667638206224,468427.85019198887,7195872.73931639,50,176.71514330896565,166,0.02795906938299528,0.024290811669370603,175.7512210591703,0.8975712909534365,0.9639222497953597,POINT (-147.66667638206224 64.8856124921467),0.06635095884192321
