,time,lat,lon,x,y,beam,is2_height,n_fit_photons,h_sigma,dh_fit_dx,lidar_height,lidar_snow_depth,is2_snow_depth,geometry,snow_depth_residual,is2_slope_degrees,forest_cover
281,2022-03-21 01:50:31.985942784,64.8832892282826,-147.66915252693926,468307.8514777026,7195615.069283354,60,174.39003692157976,53,0.032842647631145,0.0083446420978031,173.36228487871506,0.9326822966045828,1.0277520428647051,POINT (-147.66915252693926 64.8832892282826),0.0950697462601222,0.47811277375131117,14.084612216247884
282,2022-03-21 01:50:31.987353088,64.8831999182646,-147.6691755771468,468306.6545584895,7195605.127995122,60,174.39990916456992,45,0.0357859240871319,0.0057164209006662,173.62841856302558,0.8771881326599515,0.7714906015443432,POINT (-147.6691755771468 64.8831999182646),-0.1056975311156083,0.3275267915285461,6.716712402454559
283,2022-03-21 01:50:31.988760320,64.88311076432383,-147.66919859361303,468305.45941406366,7195595.204084034,60,174.37015650621217,38,0.0356569088410193,-0.0016942233289694,173.46781623308908,0.8951529522750709,0.9023402731230874,POINT (-147.66919859361303 64.88311076432383),0.0071873208480165,-0.09707184630255108,1.8591120593219022
284,2022-03-21 01:50:31.990168832,64.88302145489712,-147.66922164049143,468304.2626388903,7195585.262861185,60,174.38067685441763,41,0.033110244181661,0.0040981582348855,173.2698173901308,0.9797462411871952,1.1108594642868184,POINT (-147.66922164049143 64.88302145489712),0.1311132230996232,0.23480717063572223,3.039154550911786
285,2022-03-21 01:50:31.991575808,64.88293229895666,-147.66924461641426,468303.0693979736,7195575.338708087,60,174.5415829689321,34,0.0358511895562861,0.0212985518883631,173.93062017285615,0.898126287547464,0.6109627960759383,POINT (-147.66924461641426 64.88293229895666),-0.2871634914715257,1.2203171329435953,10.154271285550603
286,2022-03-21 01:50:31.992984576,64.88284298702706,-147.66926763380368,468301.87400215736,7195565.39719269,60,174.59658856057865,23,0.0294720033177692,-0.0157274263058855,173.65484017484573,0.9042023583077814,0.9417483857329216,POINT (-147.66926763380368 64.88284298702706),0.0375460274251402,-0.9011151499302664,19.650399092711925
287,2022-03-21 01:50:31.994390272,64.88275383253855,-147.66929061658405,468300.6804238903,7195555.473205984,60,174.44190779893916,27,0.0271828628498676,-0.0135553785961035,173.82820742050745,0.7645927034600707,0.6137003784317017,POINT (-147.66929061658405 64.88275383253855),-0.150892325028369,-0.7766659832587016,28.258612901467753
288,2022-03-21 01:50:31.995798272,64.88266451898272,-147.66931361101084,468299.486099391,7195545.531499001,60,174.35818655070557,21,0.0348470445732424,-0.0031267448522899,173.6765362507297,0.8064124964648055,0.6816502999758711,POINT (-147.66931361101084 64.88266451898272),-0.1247621964889343,-0.17914928365046728,35.01349353560301
289,2022-03-21 01:50:31.997203712,64.88257536148409,-147.66933652371284,468298.2958223111,7195535.60714288,60,174.35644707801322,13,0.0351444418384276,0.00418085682462,173.8515801476453,0.6543562811475679,0.5048669303679105,POINT (-147.66933652371284 64.88257536148409),-0.1494893507796574,0.239545450799193,40.783763179490236
290,2022-03-21 01:50:31.998611456,64.88248604391082,-147.66935945139662,468297.1046398501,7195525.664955898,60,174.36323939176089,10,0.046456882332901,9.2765569135779e-05,173.79062518917536,0.6675782621358282,0.5726142025855268,POINT (-147.66935945139662 64.88248604391082),-0.0949640595503014,0.0053150755956091885,45.997877776064
291,2022-03-21 01:50:32.000016128,64.88239688581503,-147.66938231749654,468295.9165549873,7195515.740511023,60,174.31958607786424,18,0.0378899518219787,-0.0074778520954026,173.35533920946898,0.8981234768800055,0.9642468683952644,POINT (-147.66938231749654 64.88239688581503),0.0661233915152588,-0.42844936488962804,49.6335773927124
292,2022-03-21 01:50:32.001423872,64.8823075702055,-147.66940526021506,468294.7246485191,7195505.798551558,60,174.24467191994907,24,0.0238578230222702,-0.0072500722945999,173.41816201621748,0.68989369686178,0.8265099037315906,POINT (-147.66940526021506 64.8823075702055),0.1366162068698105,-0.4153985436453027,49.87039144621303
