time,lat,lon,x,y,beam,is2_height,n_fit_photons,h_sigma,dh_fit_dx,lidar_height,lidar_snow_depth,is2_snow_depth,geometry,snow_depth_residual
2022-03-21 01:50:31.567497728,64.8878436877748,-147.66610735006205,468457.41494831734,7196121.103283102,50,172.44988319664927,128,0.018151976712452743,0.021003903106926406,171.5056527573909,1.008294549710704,0.9442304392583765,POINT (-147.66610735006205 64.8878436877748),-0.06406411045232763
2022-03-21 01:50:31.568905728,64.88775437888295,-147.66613043584888,468456.2170051393,7196111.162074055,50,172.594160199293,137,0.015443705993598783,0.010893235572947909,171.71431794585354,0.9323652687558958,0.879842253439449,POINT (-147.66613043584888 64.88775437888295),-0.052523015316446764
2022-03-21 01:50:31.570311936,64.88766522478204,-147.66615343975883,468455.02311346924,7196101.2380749015,50,172.6212507023849,143,0.014804944720117993,0.0013954167888524675,171.7312814483819,0.8940900695681133,0.889969254003006,POINT (-147.66615343975883 64.88766522478204),-0.00412081556510735
2022-03-21 01:50:31.571722752,64.88757591169673,-147.66617643816835,468453.8292885799,7196091.296356119,50,172.62426970489093,120,0.015893445249049384,0.007376230025249915,171.76446356671755,0.8460808257523225,0.8598061381733828,POINT (-147.66617643816835 64.88757591169673),0.013725312421060343
2022-03-21 01:50:31.573132544,64.8874867528067,-147.666199328931,468452.6407348482,7196081.371767998,50,172.75719266192624,134,0.01617024518268316,0.021390744375003524,171.69917129341974,1.0701843597663163,1.0580213685065019,POINT (-147.666199328931 64.8874867528067),-0.01216299125981446
2022-03-21 01:50:31.574543104,64.8873974331417,-147.66622219993928,468451.4529207858,7196071.429253591,50,172.97832983885147,170,0.012952389139888375,0.0219666999507175,172.03632592155245,0.9965691445054029,0.9420039172990187,POINT (-147.66622219993928 64.8873974331417),-0.05456522720638424
2022-03-21 01:50:31.575954944,64.88730826933,-147.66624499432598,468450.26891076687,7196061.504070075,50,173.15061188926862,178,0.01129190487847643,0.013460903856296058,172.302413635573,0.9300498198923745,0.8481982536956139,POINT (-147.66624499432598 64.88730826933),-0.0818515661967606
2022-03-21 01:50:31.577370624,64.88721894748804,-147.66626779307217,468449.08450179023,7196051.561278169,50,173.29014676449538,184,0.011972516582521405,0.01734941776502434,172.33188106607992,1.0049536656686622,0.9582656984154596,POINT (-147.66626779307217 64.88721894748804),-0.04668796725320257
2022-03-21 01:50:31.578781696,64.88712978098337,-147.6662905170068,468447.9038105998,7196041.635760547,50,173.4182814092207,177,0.014161910874533336,0.011517802969628965,172.45234436646447,0.9533518893733577,0.9659370427562237,POINT (-147.6662905170068 64.88712978098337),0.012585153382866032
2022-03-21 01:50:31.580197376,64.88704045488765,-147.66631325470308,468446.7222733996,7196031.692465286,50,173.51274157970295,165,0.015336675924603133,0.009621540393754107,172.513016817178,0.9971479875414913,0.9997247625249486,POINT (-147.66631325470308 64.88704045488765),0.0025767749834573195
2022-03-21 01:50:31.581612032,64.88695128804376,-147.6663359758501,468445.5416996925,7196021.7669095965,50,173.57893543763032,173,0.015632170484438445,0.0030613737498296923,172.6997903338475,0.9090072910864364,0.8791451037828324,POINT (-147.6663359758501 64.88695128804376),-0.029862187303604015
2022-03-21 01:50:31.583029504,64.88686196014557,-147.6663586515332,468444.36308281164,7196011.823383668,50,173.64879985437938,182,0.015743736244123445,0.008511208015039616,172.56036393238415,0.953639991678946,1.0884359219952273,POINT (-147.6663586515332 64.88686196014557),0.13479593031628134
2022-03-21 01:50:31.584446464,64.8867727832563,-147.66638116486487,468443.1923241175,7196001.896605994,50,173.7427392800776,170,0.01687209659260874,0.009174677635413351,172.88151271607873,0.8770358337220991,0.861226563998855,POINT (-147.66638116486487 64.8867727832563),-0.015809269723244146
2022-03-21 01:50:31.585869056,64.88668344891845,-147.66640369811623,468442.0204303541,7195991.952292505,50,173.8336539573548,167,0.017391298486589803,0.008002888633831803,172.96474957817762,0.8785239367901972,0.8689043791771951,POINT (-147.66640369811623 64.88668344891845),-0.00961955761300215
2022-03-21 01:50:31.587288064,64.88659427168137,-147.6664261999918,468440.8501997573,7195982.025471468,50,173.9489467517439,173,0.01698749396096469,0.011888307980852842,173.04744429824802,0.9819065020788369,0.9015024534958798,POINT (-147.6664261999918 64.88659427168137),-0.08040404858295713
2022-03-21 01:50:31.588709120,64.88650493735041,-147.66644875122273,468439.6774405781,7195972.081168827,50,174.15873370014668,150,0.020003818053965627,0.026725054368850847,173.13714918886663,0.9698725923492736,1.0215845112800537,POINT (-147.66644875122273 64.88650493735041),0.05171191893078009
2022-03-21 01:50:31.590126848,64.88641576208744,-147.66647128984266,468438.5054582902,7195962.154587227,50,174.39782928042575,138,0.020879544785730807,0.021979997883849453,173.4870669446733,0.8974484774154917,0.9107623357524517,POINT (-147.66647128984266 64.88641576208744),0.013313858336959972
2022-03-21 01:50:31.591548672,64.88632643154254,-147.66649390395975,468437.32971156435,7195952.210738996,50,174.66559959253883,139,0.02048832280066831,0.032581641011868154,173.6507760193892,0.8291408552463774,1.014823573149613,POINT (-147.66649390395975 64.88632643154254),0.18568271790323554
2022-03-21 01:50:31.592966400,64.88623725978245,-147.66651652152683,468436.15398082393,7195942.284588259,50,174.95850266884193,156,0.019504440214844328,0.020231571211027276,173.96896379219615,0.9346296888133219,0.9895388766457813,POINT (-147.66651652152683 64.88623725978245),0.05490918783245946
2022-03-21 01:50:31.594386432,64.88614793336127,-147.6665392433439,468434.9731247187,7195932.341254423,50,175.13396754260668,178,0.017478849298590646,0.013080576235587426,174.12522167559987,0.9621345049880139,1.0087458670068088,POINT (-147.6665392433439 64.88614793336127),0.0466113620187949
2022-03-21 01:50:31.595801088,64.886058766847,-147.66656197169684,468433.79213976004,7195922.415744679,50,175.37961764517635,170,0.016591749036489176,0.03916812347872943,174.44330843881175,0.9660290561824895,0.9363092063645979,POINT (-147.66656197169684 64.886058766847),-0.029719849817891553
2022-03-21 01:50:31.597219584,64.88596944449442,-147.66658477888924,468432.60723130417,7195912.472907973,50,175.74046703220398,163,0.01649991958635201,0.0345243307473586,174.82425118694894,0.9252788524419198,0.9162158452550386,POINT (-147.66658477888924 64.88596944449442),-0.009063007186881133
2022-03-21 01:50:31.598632704,64.88588028235968,-147.66660760138905,468431.42177896405,7195902.547934388,50,176.11489727795046,166,0.01898272007311211,0.036443383234345324,174.98483582143547,1.0825739305056905,1.1300614565149942,POINT (-147.66660760138905 64.88588028235968),0.04748752600930373
2022-03-21 01:50:31.600047616,64.88579096617177,-147.66663052904627,468430.2311588452,7195892.605845918,50,176.39944672386736,140,0.021825581803766207,0.019100314461845767,175.5135975547652,0.9069937327764769,0.8858491691021584,POINT (-147.66663052904627 64.88579096617177),-0.021144563674318495
2022-03-21 01:50:31.601459456,64.88570180320954,-147.66665333719087,468429.04637114145,7195882.680774088,50,176.56233005447967,116,0.02156019212885918,0.01348798512900491,175.60065360954175,0.8861939999958887,0.9616764449379218,POINT (-147.66665333719087 64.88570180320954),0.07548244494203316
2022-03-21 01:50:31.602872320,64.88561249210946,-147.66667637912852,468427.8503308748,7195872.739310776,50,176.75892849174255,142,0.01934351168525721,0.027268100256302837,175.72404673294076,0.8913953233281774,1.034881758801788,POINT (-147.66667637912852 64.88561249210946),0.14348643547361062
2022-03-21 01:50:31.604278016,64.88552335577225,-147.6666997638762,468426.6382544235,7195862.817494924,50,176.99542535175374,143,0.01934600065497786,0.023915456745978704,176.12801305652093,0.9298984070483877,0.8674122952328105,POINT (-147.6666997638762 64.88552335577225),-0.06248611181557717
2022-03-21 01:50:31.605685248,64.88543406549243,-147.66672324884786,468425.4212436903,7195852.878574082,50,177.21033133501805,142,0.019682054330182358,0.024110502367694353,176.1739211900873,0.9260864404536063,1.0364101449307555,POINT (-147.66672324884786 64.88543406549243),0.11032370447714912
2022-03-21 01:50:31.607087872,64.88534493110532,-147.6667466727477,468424.2073008704,7195842.956996262,50,177.40837374869585,165,0.01699814362478605,0.016541387731148407,176.43911843155578,0.9074918057823899,0.9692553171400675,POINT (-147.6667466727477 64.88534493110532),0.06176351135767766
2022-03-21 01:50:31.608494080,64.88525563762481,-147.66677009478676,468422.99325206975,7195833.017688508,50,177.59068874711684,161,0.016399251527992514,0.018656616173883755,176.66564020117804,0.8241617647921892,0.9250485459388074,POINT (-147.66677009478676 64.88525563762481),0.1008867811466182
2022-03-21 01:50:31.609895424,64.88516649787817,-147.66679340507895,468421.78466851515,7195823.095457901,50,177.76779359363053,164,0.017095707503944624,0.014276552666225628,176.76622906079595,0.9470186847146397,1.0015645328345784,POINT (-147.66679340507895 64.88516649787817),0.05454584811993868
2022-03-21 01:50:31.611297536,64.88507719668466,-147.66681666621528,468420.578215997,7195813.155211474,50,177.95210158445315,153,0.018495854202798905,0.017750234173555257,177.02846863211647,0.7496129983079591,0.9236329523366749,POINT (-147.66681666621528 64.88507719668466),0.17401995402871573
2022-03-21 01:50:31.612697856,64.88498804783242,-147.6668397758363,468419.3791105099,7195803.231867146,50,178.17612505285723,139,0.020099754932270595,0.025243603430056518,177.3143873268442,0.8073589734925795,0.8617377260130183,POINT (-147.6668397758363 64.88498804783242),0.05437875252043889
2022-03-21 01:50:31.614100224,64.8848987358785,-147.6668627990094,468418.18390023743,7195793.2903039595,50,178.39833283416544,145,0.019650047125737334,0.022757940738942516,177.42728751733833,0.9675850303745086,0.9710453168271158,POINT (-147.6668627990094 64.8848987358785),0.0034602864526072086
2022-03-21 01:50:31.615499264,64.88480957476688,-147.66688564333597,468416.99732971046,7195783.365462167,50,178.61019756878153,148,0.01753196484214736,0.02317088464616495,177.7571924120662,0.7819446938926661,0.8530051567153407,POINT (-147.66688564333597 64.88480957476688),0.07106046282267464
2022-03-21 01:50:31.616900096,64.88472025023201,-147.66690838918717,468415.8152237103,7195773.422359665,50,178.78694821654378,169,0.01712507481649484,0.01787926853986672,178.09345938378394,0.9668820536948083,0.6934888327598401,POINT (-147.66690838918717 64.88472025023201),-0.2733932209349682
2022-03-21 01:50:31.618299904,64.88463107567523,-147.66693094701847,468414.6421910244,7195763.495877653,50,178.86244362165982,173,0.0167407069227477,0.004613784445952869,177.82351556269444,0.9815040541175724,1.0389280589653822,POINT (-147.66693094701847 64.88463107567523),0.05742400484780985
2022-03-21 01:50:31.619702528,64.88454173755295,-147.66695339712737,468413.474060726,7195753.551114448,50,178.91439105266346,165,0.01662582100165111,0.0077316586733784595,177.99388651802977,0.8240517924371519,0.9205045346336931,POINT (-147.66695339712737 64.88454173755295),0.09645274219654121
2022-03-21 01:50:31.621101312,64.88445255541677,-147.6669757927686,468412.3086861699,7195743.623707927,50,178.9746150436343,164,0.01757573586445304,0.003276445010362164,178.06227956546155,0.8889575910337973,0.9123354781727357,POINT (-147.6669757927686 64.88445255541677),0.023377887138938402
2022-03-21 01:50:31.622503424,64.8843632043627,-147.6669979819083,468411.1528858021,7195733.677374414,50,179.09117549149036,160,0.016568043063192033,0.016709926386842173,178.2587089022761,0.6979127492445321,0.8324665892142491,POINT (-147.6669979819083 64.8843632043627),0.13455383996971704
2022-03-21 01:50:31.623905024,64.88427398264841,-147.66701952297834,468410.02792209684,7195723.745131725,50,179.1982399221235,159,0.015129340922404198,0.006348834876876211,178.3260172968232,0.735167252257324,0.8722226253002816,POINT (-147.66701952297834 64.88427398264841),0.13705537304295756
2022-03-21 01:50:31.625307904,64.88418458590465,-147.6670407111485,468408.91945895104,7195713.793207836,50,179.30119683714597,134,0.01723393343130131,0.019956727673789136,178.32015660737494,0.9218462978793294,0.9810402297710255,POINT (-147.6670407111485 64.88418458590465),0.05919393189169608
