,time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,lon,lat,land_cover_value,land_cover,geometry,forest_cover
2637,2022-03-21 01:50:27.326342656,472030.3757763844,7226011.1324420925,362.90546412900426,0.9519250359476504,363.7061332438086,0.0335665089180646,-0.2312090590219569,5,0.8006691148043501,-0.1512559211433003,-147.59661763339545,65.1563439152716,43.0,Mixed Forest,POINT (-147.59661763339543 65.1563439152716),26.275280960583448
2638,2022-03-21 01:50:27.327744512,472029.1430617997,7226001.213035501,360.5209019372534,0.8682647144972773,361.2922031803396,0.0430499369683846,-0.2507549830776177,5,0.7713012430861568,-0.0969634714111205,-147.59664192719086,65.15625481267023,43.0,Mixed Forest,POINT (-147.59664192719086 65.15625481267023),34.284802046076805
2639,2022-03-21 01:50:27.329147392,472027.9041679314,7225991.2771039475,358.3231290742208,0.9053653801810012,358.623845270128,0.0531084679907047,-0.2740226106887724,5,0.3007161959072277,-0.6046491842737735,-147.59666634929394,65.15616556127617,43.0,Mixed Forest,POINT (-147.59666634929394 65.15616556127617),39.31801783627312
2640,2022-03-21 01:50:27.330548224,472026.6673826964,7225981.358193907,355.5416426341844,0.9863196414861708,356.20760248469014,0.0380044513920269,-0.2058097294434825,5,0.6659598505057147,-0.3203597909804561,-147.5966907296898,65.15607646277505,43.0,Mixed Forest,POINT (-147.5966907296898 65.15607646277505),40.08213648344378
2641,2022-03-21 01:50:27.331953152,472025.4316010063,7225971.421724233,353.49609333338987,1.0253344481502236,354.4165269881144,0.0303446086888397,-0.1594784055856327,5,0.9204336547245476,-0.104900793425676,-147.59671508497894,65.155987206807,41.0,Deciduous Forest,POINT (-147.59671508497894 65.155987206807),35.19791778164607
2642,2022-03-21 01:50:27.333352192,472024.1955295914,7225961.50282541,351.8034846389986,0.9556999821674894,352.20182521375443,0.0446982123396545,-0.267613273230752,5,0.3983405747558208,-0.5573594074116686,-147.59673944982754,65.15589810845727,41.0,Deciduous Forest,POINT (-147.59673944982754 65.15589810845727),27.18378586786124
2643,2022-03-21 01:50:27.336157952,472021.7200651002,7225941.647744164,346.07819424995137,0.8436663125048385,346.8627885604422,0.0653501657535459,-0.2012374485883925,5,0.7845943104908315,-0.0590720020140069,-147.5967882464018,65.15571975639095,41.0,Deciduous Forest,POINT (-147.5967882464018 65.15571975639095),20.28960832726485
2644,2022-03-21 01:50:27.337561600,472020.48730996216,7225931.71115126,343.736576595462,0.8967975195049799,344.66492741809776,0.0504471097820198,-0.2269331197561827,5,0.928350822635764,0.031553303130784,-147.59681253646383,65.15563049955446,41.0,Deciduous Forest,POINT (-147.59681253646383 65.15563049955446),25.225796392431768
2645,2022-03-21 01:50:27.338964480,472019.2566108694,7225921.791716529,341.6139423006688,0.9676067349673824,341.92705333129425,0.1271903263720308,-0.2908315035434096,5,0.3131110306254641,-0.6544957043419182,-147.5968367859704,65.15554139683263,41.0,Deciduous Forest,POINT (-147.5968367859704 65.15554139683263),32.906943622460155
2646,2022-03-21 01:50:27.345990144,472013.1850430768,7225872.131468239,327.2597292013795,0.9481107079986236,328.26190811267253,0.0223671211572054,-0.0692169790708161,5,1.002178911293015,0.0540682032943913,-147.59695627096977,65.1550953241878,41.0,Deciduous Forest,POINT (-147.59695627096977 65.1550953241878),44.3191626690061
2647,2022-03-21 01:50:27.347395328,472012.0048345247,7225862.205782899,326.675338252481,0.913025804377126,327.604442277317,0.0194116977239857,-0.0664385363722278,5,0.929104024835965,0.0160782204588388,-147.59697944136948,65.15500616963932,43.0,Mixed Forest,POINT (-147.59697944136948 65.15500616963932),35.73078992019899
2648,2022-03-21 01:50:27.348806400,472010.8273370957,7225852.262458879,326.0966466460772,0.9632192851331376,327.02344913631964,0.0180978248355996,-0.0540113628848266,5,0.9268024902424372,-0.0364167948907003,-147.597002550234,65.15491685705999,43.0,Mixed Forest,POINT (-147.597002550234 65.15491685705999),28.53848991380265
2649,2022-03-21 01:50:27.350215424,472009.6573239449,7225842.335642619,325.5290348771524,0.938971583549612,326.58410428715166,0.0173085391143359,-0.0396021661401435,5,1.0550694099993052,0.1160978264496931,-147.597025502647,65.15482769322074,43.0,Mixed Forest,POINT (-147.597025502647 65.15482769322074),24.251565115242833
2650,2022-03-21 01:50:27.351627008,472008.48898804135,7225832.391251103,325.051233427539,0.951725460895146,326.1493359820456,0.0179298256283202,-0.0440446684768754,5,1.0981025545066243,0.1463770936114784,-147.5970484155899,65.15473837183204,43.0,Mixed Forest,POINT (-147.5970484155899 65.15473837183204),23.24901106800587
2651,2022-03-21 01:50:27.353036800,472007.32717793336,7225822.463447483,325.010541625197,0.9595283750423984,325.8962951395321,0.0159324148227292,-0.0061731824853219,5,0.8857535143351356,-0.0737748607072628,-147.59707119254273,65.15464919982121,43.0,Mixed Forest,POINT (-147.59707119254273 65.15464919982121),25.647043822694588
2652,2022-03-21 01:50:27.354448128,472006.1677442277,7225812.517834328,324.63757514275045,0.9087764531254732,325.9040628969847,0.0180040798315965,0.0066399303389741,5,1.2664877542342765,0.3577113011088032,-147.59709391506772,65.15455986821834,43.0,Mixed Forest,POINT (-147.59709391506772 65.15455986821834),30.699936075324743
2653,2022-03-21 01:50:27.355859456,472005.0132007405,7225802.589146309,325.1203444208742,0.9232396444677206,326.0096269439099,0.0156946168258139,0.0179242257001605,5,0.8892825230357175,-0.033957121432003,-147.59711653655668,65.15447068888035,43.0,Mixed Forest,POINT (-147.59711653655668 65.15447068888035),36.831475494068755
2654,2022-03-21 01:50:27.357270528,472003.8581695372,7225792.643149569,325.3024176175729,0.931812149281544,326.10772749535005,0.0135981332386667,0.0045449999553858,5,0.8053098777771197,-0.1265022715044244,-147.5971391648057,65.15438135420077,43.0,Mixed Forest,POINT (-147.5971391648057 65.15438135420077),42.0329132941993
2655,2022-03-21 01:50:27.358681600,472002.7063574825,7225782.714191625,325.52875280223617,0.8971831297272899,326.220184415058,0.0179738337725348,0.0178536696442875,5,0.6914316128217592,-0.2057515169055306,-147.59716172768347,65.15429217266414,41.0,Deciduous Forest,POINT (-147.59716172768347 65.15429217266414),44.65783302139697
2656,2022-03-21 01:50:27.360095744,472001.5555305072,7225772.767530638,325.8385784769559,0.97054087273872,326.75259978877136,0.0332755564522291,0.0776219959476692,5,0.9140213118154747,-0.0565195609232453,-147.5971842658304,65.1542028323729,41.0,Deciduous Forest,POINT (-147.5971842658304 65.1542028323729),44.35362318677355
2657,2022-03-21 01:50:27.361506560,472000.4099308925,7225762.837832806,327.247663353891,0.958040427686888,328.0271544782032,0.0348175208402291,0.1687510877771023,5,0.7794911243121305,-0.1785493033747573,-147.59720669576157,65.15411364471649,41.0,Deciduous Forest,POINT (-147.59720669576157 65.15411364471649),41.99198421487034
2658,2022-03-21 01:50:27.375638272,471988.9463186474,7225663.454139082,357.55034829911926,1.003761209965189,357.9012348651091,0.032715550471707,0.1887873603815415,5,0.3508865659898106,-0.6528746439753783,-147.59743113179647,65.15322098924864,43.0,Mixed Forest,POINT (-147.59743113179647 65.15322098924864),57.92399109312747
2659,2022-03-21 01:50:27.429123840,471944.4703274552,7225285.905035206,442.145236737567,1.0285175735697842,442.624666487326,0.0310420846287847,0.2940318731610336,5,0.4794297497589355,-0.5490878238108488,-147.5983033705177,65.14982979418227,41.0,Deciduous Forest,POINT (-147.5983033705177 65.14982979418227),50.21158526500771
2660,2022-03-21 01:50:27.438951424,471936.2942789747,7225216.345636428,462.1349367759531,1.0038922830164412,462.5878403900874,0.0315963817593429,0.3078839361829492,5,0.4529036141342999,-0.5509886688821413,-147.5984636594968,65.14920500347795,41.0,Deciduous Forest,POINT (-147.5984636594968 65.14920500347795),48.46101737452785
2661,2022-03-21 01:50:27.441779200,471933.9405379339,7225196.476311745,467.54170237557537,0.979139034015818,467.9410992071661,0.0292789697320539,0.2551850104461609,5,0.3993968315907636,-0.5797422024250543,-147.5985098339521,65.1490265332704,41.0,Deciduous Forest,POINT (-147.5985098339521 65.1490265332704),42.41406245207471
2662,2022-03-21 01:50:27.443198720,471932.7641647584,7225186.550217682,469.98101521410047,1.0190816440457005,470.45551421733177,0.0266388436050261,0.2415880964405171,5,0.4744990032313012,-0.5445826408143992,-147.59853291207605,65.14893737507788,41.0,Deciduous Forest,POINT (-147.59853291207605 65.14893737507788),43.380840858633725
2663,2022-03-21 01:50:27.444630016,471931.5877834146,7225176.60662219,472.1502803184715,1.0889434627881185,472.8167069095509,0.0279823500596862,0.2285995513429439,5,0.6664265910793574,-0.422516871708761,-147.59855598668295,65.14884805985517,41.0,Deciduous Forest,POINT (-147.59855598668295 65.14884805985517),45.20495952324596
2664,2022-03-21 01:50:27.446059264,471930.4118316465,7225166.680558468,474.2045970142335,1.0326326337728384,474.9238614203317,0.0267445089107246,0.1945311427564766,5,0.7192644060982047,-0.3133682276746337,-147.59857905552016,65.14875890196176,41.0,Deciduous Forest,POINT (-147.59857905552016 65.14875890196176),45.62729912451384
2665,2022-03-21 01:50:27.447493632,471929.2325254176,7225156.73730945,476.246723755961,1.0006159421370346,476.8457665866309,0.0244336014948516,0.1914468628184781,5,0.5990428306698732,-0.4015731114671614,-147.59860219225814,65.14866958958991,41.0,Deciduous Forest,POINT (-147.59860219225814 65.14866958958991),44.020741202931994
2666,2022-03-21 01:50:27.448927488,471928.0562738835,7225146.811251794,478.338512180141,1.0605605520094783,478.9381902607734,0.0255445946822007,0.2227475868649623,5,0.5996780806323727,-0.4608824713771058,-147.59862526718138,65.14858043171644,41.0,Deciduous Forest,POINT (-147.59862526718138 65.14858043171644),42.23461362519129
2667,2022-03-21 01:50:27.450362624,471926.8789472054,7225136.867877716,480.4260306642912,1.0119968416927827,481.190196980621,0.0245326541979252,0.2202179565831862,5,0.7641663163298631,-0.2478305253629196,-147.59864836137584,65.14849111838197,41.0,Deciduous Forest,POINT (-147.59864836137584 65.14849111838197),42.19975849062491
