,time,lat,lon,x,y,beam,is2_height,n_fit_photons,h_sigma,dh_fit_dx,lidar_height,lidar_snow_depth,is2_snow_depth,geometry,snow_depth_residual,is2_slope_degrees,forest_cover
159,2022-04-23 00:18:19.946240768,64.70077837833479,-148.2524098901554,440283.7301354506,7175697.695501691,10,134.38613007780978,64,0.0165962989456475,0.0111967290866403,133.7736427771955,0.8603323432209247,0.6124873006142764,POINT (-148.2524098901554 64.70077837833479),-0.2478450426066483,0.6415253210158582,50.98363881330581
160,2022-04-23 00:18:19.947660800,64.70068930358136,-148.25243445442672,440282.362822101,7175687.793353217,10,134.41993257520826,55,0.016703606828591,-0.0066730905324667,133.90881277983766,0.7697508689196008,0.5111197953706039,POINT (-148.25243445442672 64.70068930358136),-0.2586310735489968,-0.38233992381904913,52.49547622880133
161,2022-04-23 00:18:19.949082880,64.70060007146296,-148.25245907375754,440280.99252957065,7175677.873722672,10,134.42670070327094,71,0.0165562956022405,0.0093461815323227,133.76907384305514,0.8409209694573625,0.6576268602157995,POINT (-148.25245907375754 64.70060007146296),-0.1832941092415629,0.5354967563652033,54.323809282558024
162,2022-04-23 00:18:19.950502656,64.70051099618749,-148.25248362032707,440279.6260439357,7175667.971500718,10,134.4739638479545,68,0.0188496898385836,0.0012186893031506,133.73298170941013,0.8667424549073622,0.740982138544382,POINT (-148.25248362032707 64.70051099618749),-0.1257603163629802,0.06982575360826872,54.968944365653485
163,2022-04-23 00:18:19.951926528,64.7004217618904,-148.2525081677884,440278.25915799406,7175658.051561053,10,134.45181309413425,71,0.0193399905131397,-0.0033442837156917,133.90645439147224,0.6816119541033834,0.5453587026620141,POINT (-148.2525081677884 64.7004217618904),-0.1362532514413692,-0.19161334240346334,54.071694225829546
164,2022-04-23 00:18:19.953346560,64.70033268025175,-148.2525325918282,440276.8984851211,7175648.1485159695,10,134.469101775326,82,0.0194694497109352,0.004284893101583,134.0367113670881,0.7550372380249987,0.4323904082379215,POINT (-148.25253259182819 64.70033268025175),-0.3226468297870771,0.24550629038542704,53.31006915312292
165,2022-04-23 00:18:19.954770432,64.70024343677791,-148.25255695759748,440275.54022646,7175638.227383904,10,134.44802423221597,76,0.0228156864193441,-0.0095018196137458,133.87832312254957,0.6225411969978621,0.5697011096664255,POINT (-148.25255695759748 64.70024343677791),-0.0528400873314366,-0.5444141615622604,54.45641337930216
166,2022-04-23 00:18:19.956192000,64.70015435022762,-148.25258122348745,440274.18706793897,7175628.323643839,10,134.2617816199741,42,0.0454540929052648,-0.0335750020834977,133.8041115486729,0.7711530825790359,0.4576700713012087,POINT (-148.25258122348745 64.70015435022762),-0.3134830112778272,-1.9237059165273638,57.840289806253175
167,2022-04-23 00:18:20.043523328,64.69462226103944,-148.2540069314572,440194.0141092464,7175013.246751534,10,134.2219382499279,24,0.0592715557167344,0.0079656809769172,133.56423888434352,0.7851593402171386,0.6576993655843637,POINT (-148.2540069314572 64.69462226103944),-0.1274599746327749,0.456399900925002,59.52676503166104
168,2022-04-23 00:18:20.044936192,64.69453296188662,-148.25403010620343,440192.71205818414,7175003.318333065,10,134.19693659123658,37,0.0229677965993152,-0.0128254279048376,133.56118343465846,0.7332189303770437,0.6357531565781187,POINT (-148.25403010620343 64.69453296188662),-0.0974657737989249,-0.7348428893965085,61.501648864243286
169,2022-04-23 00:18:20.046347264,64.69444382337416,-148.25405328554436,440191.4101351236,7174993.407819152,10,134.06355254919558,31,0.0246997074838069,-0.0104555799225827,133.39263502354413,0.4572291596155615,0.670917525651447,POINT (-148.25405328554436 64.69444382337416),0.2136883660358854,-0.5990606019257088,64.05835938824607
170,2022-04-23 00:18:20.047759104,64.69435452774653,-148.2540765192326,440190.1052667901,7174983.479850374,10,133.9971113202758,46,0.0232585386730043,-0.0035190460489471,133.5686900703958,0.6660063773076833,0.4284212498799888,POINT (-148.2540765192326 64.69435452774653),-0.2375851274276944,-0.20162648651685652,64.08017112289669
171,2022-04-23 00:18:20.049168384,64.69426538945956,-148.2540997135251,440188.8026169785,7174973.569376963,10,133.92360492585047,45,0.0241799382487683,-0.0121117024899864,133.17030654125742,0.6096427027464193,0.7532983845930517,POINT (-148.2540997135251 64.69426538945956),0.1436556818466323,-0.693949435394311,59.231008762960386
172,2022-04-23 00:18:20.050579456,64.6941760927954,-148.2541229275025,440187.498672055,7174963.641275351,10,133.86230098750124,48,0.0200098831945479,-0.0014403153502347,133.38696482350275,0.7296481539467783,0.4753361639984916,POINT (-148.2541229275025 64.6941760927954),-0.2543119899482866,-0.08252399073635532,51.9266411017063
173,2022-04-23 00:18:20.051989248,64.69408695079689,-148.25414604812252,440186.19951310765,7174953.730320103,10,133.82630348459062,55,0.0199652383337975,-0.0049807900465268,133.34470982244474,0.6980597359124361,0.4815936621458832,POINT (-148.25414604812252 64.69408695079689),-0.2164660737665529,-0.28537824830675457,47.354542854936284
174,2022-04-23 00:18:20.053399296,64.69399764931825,-148.25416915832415,440184.90049219,7174943.801585346,10,133.71438496270224,43,0.0257135691887518,-0.013305680568959,133.30350944030525,0.5948119968552615,0.4108755223969922,POINT (-148.25416915832415 64.69399764931825),-0.1839364744582693,-0.7623593401505786,49.68621000202424
175,2022-04-23 00:18:20.054808576,64.6939085013281,-148.2541921372559,440183.6080627118,7174933.889829994,10,133.66601825747907,47,0.0258929531105821,0.0060952703259616,133.1128895995238,0.6649495356380545,0.5531286579552557,POINT (-148.2541921372559 64.6939085013281),-0.1118208776827988,0.34923326466892923,56.95798784242693
176,2022-04-23 00:18:20.056218624,64.69381918987379,-148.2542150312812,440182.3193147332,7174923.959780895,10,133.7309144512932,53,0.025431138362611,0.0034313308110063,133.17962859163575,0.5556947640847825,0.5512858596574404,POINT (-148.2542150312812 64.69381918987379),-0.004408904427342,0.1966007735838629,63.666941500957606
177,2022-04-23 00:18:20.057626880,64.69373003094401,-148.2542377688754,440181.0383560922,7174914.046580024,10,133.8284236187139,59,0.0240221177878394,0.0143255389110801,133.0981675020864,0.7460348679369504,0.7302561166275154,POINT (-148.2542377688754 64.69373003094401),-0.0157787513094349,0.8207929188553268,65.48360680675812
178,2022-04-23 00:18:20.059036928,64.69364070817791,-148.2542604242575,440179.7609497303,7174904.115046467,10,133.85259045420725,50,0.0270146958397806,-0.0094470171375952,133.33767020543775,0.6360695568879021,0.5149202487694708,POINT (-148.2542604242575 64.69364070817791),-0.1211493081184312,-0.5412742109719646,63.077502974002265
179,2022-04-23 00:18:20.060444928,64.69355153694819,-148.254282904243,440178.4922351036,7174894.200233116,10,133.84060922262793,48,0.029533309093299,-0.0012694386496453,133.30705016316622,0.821655011900416,0.5335590594617088,POINT (-148.254282904243 64.69355153694819),-0.2880959524387072,-0.07273347697546206,59.76956176185812
180,2022-04-23 00:18:20.061854464,64.69346220557802,-148.25430537981083,440177.223371054,7174884.267572317,10,133.64294836493994,63,0.0261746321548192,-0.0392405119325358,132.95087992152023,0.7238577484355165,0.6920684434197142,POINT (-148.25430537981083 64.69346220557802),-0.0317893050158023,-2.2483157196670467,57.752967409915364
181,2022-04-23 00:18:20.064673792,64.693283660817,-148.25434942669733,440174.7290055788,7174864.414544941,10,133.19979142723145,47,0.0293748038322709,0.0070089794887178,132.70882961440776,0.7258486857408405,0.4909618128236843,POINT (-148.25434942669733 64.693283660817),-0.2348868729171561,0.40158494339729156,57.95550642425371
182,2022-04-23 00:18:20.066082816,64.69319444789666,-148.254371008993,440173.502981994,7174854.494241113,10,133.3276603590548,39,0.0296682004812518,0.0095345640915482,132.81723473182018,0.6696117922503881,0.5104256272346106,POINT (-148.254371008993 64.69319444789666),-0.1591861650157775,0.5462902819426977,59.965395786904416
183,2022-04-23 00:18:20.067494912,64.69310507217571,-148.25439252315422,440172.2798420111,7174844.555733247,10,133.41873908975631,41,0.0196397557047082,0.0008232639456331,132.8481949920525,0.6203033140889233,0.5705440977038165,POINT (-148.25439252315422 64.69310507217571),-0.0497592163851067,0.047169549510064294,62.96435857559709
184,2022-04-23 00:18:20.068904448,64.69301585073917,-148.2544139155579,440171.0628423384,7174834.634302361,10,133.38127003337925,31,0.0299737466566107,-0.008968834912538,132.96466849206158,0.6118833697488396,0.4166015413176751,POINT (-148.2544139155579 64.69301585073917),-0.1952818284311644,-0.5138763876380122,65.75832262349142
185,2022-04-23 00:18:20.073138432,64.69274784612564,-148.25447767315046,440167.4310650553,7174804.831698064,10,133.80412895062517,34,0.03316581356444,0.0115814513323721,133.42419045664852,0.6701939303082156,0.3799384939766526,POINT (-148.25447767315046 64.69274784612564),-0.290255436331563,0.6635682819810853,65.4497515410189
186,2022-04-23 00:18:20.074547712,64.69265861526507,-148.25449884737895,440166.2244232968,7174794.90901335,10,133.81271995591896,37,0.0277334977172013,-0.0081364847293744,133.37880720723905,0.5971030545136312,0.4339127486799157,POINT (-148.25449884737895 64.69265861526507),-0.1631903058337155,-0.466186235065797,63.747349584922574
187,2022-04-23 00:18:20.075960320,64.6925692256155,-148.25452006106164,440165.0155431704,7174784.968673152,10,133.81041926434355,53,0.0225749754706222,0.0001863649071908,133.24013740564214,0.582805957771305,0.5702818587014065,POINT (-148.25452006106164 64.6925692256155),-0.0125240990698984,0.010677922631380126,62.15400283800827
188,2022-04-23 00:18:20.077369344,64.69247999457731,-148.25454125675668,440163.8078642656,7174775.045990024,10,133.79803391968892,54,0.0249785456393758,-0.0031496548511458,133.2312297818277,0.6655584396256738,0.5668041378612259,POINT (-148.25454125675668 64.69247999457731),-0.098754301764448,-0.18046192989355989,61.09129714580799
