,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat,geometry
6441,440559.0221369552,7177669.200184206,136.1516753736359,0.5944061727848879,136.73456,1,0.5828827318328536,-0.011523440952034392,-148.24745178222656,64.71851348876953,POINT (-148.24745178222656 64.71851348876953)
6442,440544.72091748135,7177570.829600138,135.77028907501764,0.7981187590845888,136.24019,1,0.46989952361516885,-0.32821923546942,-148.24771118164062,64.7176284790039,POINT (-148.24771118164062 64.7176284790039)
6443,440530.40216011234,7177471.608970205,135.32875388897733,0.7950044076874602,135.74652,1,0.4177671071164184,-0.37723730057104177,-148.2479705810547,64.71673583984375,POINT (-148.2479705810547 64.71673583984375)
6444,440516.08260367176,7177372.388414855,134.8200854310459,0.6176267919136255,135.30257,1,0.482481097274416,-0.13514569463920945,-148.24822998046875,64.7158432006836,POINT (-148.24822998046875 64.7158432006836)
6445,440502.4893507211,7177273.153606089,134.46908889292231,0.7748283186142317,134.92805,1,0.4589659166479976,-0.31586240196623416,-148.24847412109375,64.71495056152344,POINT (-148.24847412109375 64.71495056152344)
6446,440488.18497546384,7177174.78331626,133.77195133085132,0.7924102269475306,134.21405,1,0.44209896211742716,-0.35031126483010344,-148.2487335205078,64.71406555175781,POINT (-148.2487335205078 64.71406555175781)
6448,440459.5403237665,7176976.342720704,133.0682505371113,0.3324386223211997,133.14421,1,0.0759602783183766,-0.2564783440028231,-148.24925231933594,64.71228027343749,POINT (-148.24925231933594 64.71228027343749)
6450,440432.3469197697,7176777.873734636,133.12567555431025,0.6384270751454861,133.52995,1,0.40427744861943893,-0.2341496265260472,-148.24974060058594,64.71049499511719,POINT (-148.24974060058594 64.71049499511719)
6451,440418.0218451817,7176678.653691277,133.90504838196256,0.7546775485248246,134.44734,1,0.5422935369827542,-0.21238401154207043,-148.25000000000003,64.70960235595702,POINT (-148.25000000000003 64.70960235595702)
6452,440404.4400162237,7176580.269490437,133.9008133384581,0.8236091502858316,134.45648,1,0.5556685951356428,-0.2679405551501888,-148.250244140625,64.7087173461914,POINT (-148.250244140625 64.7087173461914)
6453,440390.11337092024,7176481.049592808,134.0538724383047,0.7113111345379275,134.5218,1,0.4679323712656185,-0.243378763272309,-148.25050354003906,64.70782470703125,POINT (-148.25050354003906 64.70782470703125)
6454,440376.51324397436,7176381.815412399,134.07354854946703,0.8025925152900767,134.53934,1,0.46578860873609074,-0.33680390655398595,-148.25074768066406,64.7069320678711,POINT (-148.25074768066406 64.7069320678711)
6455,440362.91236588167,7176282.581300101,134.19374561290013,0.6492128425355761,134.62955,1,0.4358015062404945,-0.21341133629508158,-148.25099182128906,64.70603942871094,POINT (-148.25099182128906 64.70603942871094)
6456,440348.5833714978,7176183.361619641,133.13945235120562,0.771707228406896,133.62352,1,0.4840675462553179,-0.2876396821515781,-148.25125122070312,64.70514678955078,POINT (-148.25125122070312 64.70514678955078)
6457,440334.9809672277,7176084.12764673,133.03644654938472,0.027238257797634256,132.84865,1,-0.18779847809565808,-0.21503673589329234,-148.25149536132812,64.70425415039061,POINT (-148.25149536132812 64.70425415039061)
6458,440322.1220188264,7175985.729489756,133.50740978933356,0.7104708295678627,134.1528,1,0.6453917243383103,-0.0650791052295524,-148.25172424316406,64.703369140625,POINT (-148.25172424316406 64.703369140625)
6459,440308.51813938725,7175886.49564976,133.8951579370929,0.8526967274568485,134.444,1,0.5488423070477211,-0.30385442040912747,-148.25196838378906,64.70247650146484,POINT (-148.25196838378906 64.70247650146484)
6460,440294.91350884846,7175787.261877885,133.30030441178874,0.7342692165421236,133.49162,1,0.19131851301594338,-0.5429507035261802,-148.25221252441406,64.70158386230469,POINT (-148.25221252441406 64.70158386230469)
6461,440282.0356117175,7175688.013794727,133.96888044718594,0.7576190373041635,134.37656,1,0.40767594929843654,-0.34994308800572693,-148.25244140625,64.70069122314452,POINT (-148.25244140625 64.70069122314452)
6463,440255.55017535697,7175489.532199695,133.04894582583728,0.7302635489312672,133.50601,1,0.45706613705334576,-0.27319741187792146,-148.25291442871094,64.69890594482422,POINT (-148.25291442871094 64.69890594482422)
6468,440191.14298909134,7174993.293348065,133.42743977375122,0.4451326562317441,134.08022,1,0.6527756803503451,0.20764302411860097,-148.25405883789062,64.69444274902344,POINT (-148.25405883789062 64.69444274902344)
6469,440177.5317664126,7174894.060167217,133.34912566760252,0.8291395758862059,133.83208,1,0.4829513587646659,-0.34618821712154,-148.25430297851565,64.69355010986328,POINT (-148.25430297851565 64.69355010986328)
6470,440165.37519211904,7174794.798241253,133.42467883066485,0.6178968475802104,133.86961,1,0.44493481679609204,-0.17296203078411831,-148.2545166015625,64.69265747070312,POINT (-148.2545166015625 64.69265747070312)
6471,440153.2179624656,7174695.5363714555,133.15633297927536,0.5690558159013587,133.44063,1,0.28429507248245045,-0.2847607434189082,-148.25473022460938,64.69176483154297,POINT (-148.25473022460938 64.69176483154297)
6472,440140.3323299366,7174596.288970019,133.00435720496415,0.5782496863674444,133.5089,1,0.5045386690592863,-0.0737110173081581,-148.2549591064453,64.69087219238281,POINT (-148.2549591064453 64.69087219238281)
6473,440127.4459942401,7174497.041630573,133.07875874227926,0.8145156986036293,133.57686,1,0.4980997782285499,-0.3164159203750794,-148.25518798828125,64.68997955322266,POINT (-148.25518798828125 64.68997955322266)
6417,437768.70543312986,7181033.765052288,335.89156909874197,1.196503127270746,336.21033,3,0.318758049695532,-0.877745077575214,-148.30744934082034,64.74819183349608,POINT (-148.30744934082034 64.74819183349608)
6418,437754.3064923314,7180934.556929733,332.73268566982904,0.9603213116053975,332.15146,3,-0.5812269295946635,-1.541548241200061,-148.3077087402344,64.74729919433592,POINT (-148.3077087402344 64.74729919433592)
6421,437712.57503066614,7180637.753115678,339.5167785327535,0.9952970764671781,339.4483,3,-0.06847531009725571,-1.063772386564434,-148.30845642089844,64.74462890625,POINT (-148.30845642089844 64.74462890625)
6422,437698.8992659763,7180538.530279824,343.8075903250688,0.9712109367092643,343.67554,3,-0.13205321569381567,-1.10326415240308,-148.30870056152344,64.74373626708984,POINT (-148.30870056152344 64.74373626708984)
6423,437684.4964075578,7180439.322522499,336.51499912405,0.9205175418189845,335.57968,3,-0.9353177275656321,-1.8558352693846167,-148.3089599609375,64.74284362792969,POINT (-148.3089599609375 64.74284362792969)
6424,437670.1103217215,7180340.964950305,329.2529808239155,0.6999255098736045,328.64148,3,-0.6115013317279931,-1.3114268416015977,-148.30921936035156,64.74195861816405,POINT (-148.30921936035156 64.74195861816405)
6426,437641.30061905767,7180142.5498108845,310.42507605638633,1.1434218353922765,310.77643,3,0.35135216626991905,-0.7920696691223574,-148.3097381591797,64.74017333984375,POINT (-148.3097381591797 64.74017333984375)
6428,437612.50530695467,7179944.985081329,273.3774279085891,0.8992846055979763,272.77072,3,-0.6067064730422089,-1.5059910786401853,-148.3102569580078,64.73839569091797,POINT (-148.3102569580078 64.73839569091797)
6429,437597.37117820507,7179845.792804674,255.71736787515226,0.8301898849444177,254.96588,3,-0.751486527496013,-1.5816764124404306,-148.31053161621094,64.73750305175781,POINT (-148.31053161621094 64.73750305175781)
6430,437582.9627131864,7179746.585576201,242.35081520593698,0.794675223844268,241.46216,3,-0.888657002811982,-1.68333222665625,-148.310791015625,64.73661041259767,POINT (-148.310791015625 64.73661041259767)
6431,437568.5534497228,7179647.378422852,234.9935333921267,0.8371144072312711,235.35707,3,0.3635375307248694,-0.4735768765064017,-148.31105041503906,64.7357177734375,POINT (-148.31105041503906 64.7357177734375)
6432,437554.16098592716,7179549.021453429,226.6371823013587,0.9861590774582079,227.14372,3,0.5065402328209814,-0.4796188446372265,-148.31130981445312,64.73483276367188,POINT (-148.31130981445312 64.73483276367188)
6433,437539.7501289528,7179449.814450194,212.33917126961933,0.9470547037460746,212.6648,3,0.3256236522556719,-0.6214310514904027,-148.3115692138672,64.7339401245117,POINT (-148.3115692138672 64.7339401245117)
6434,437524.61186811636,7179350.622569376,202.4378184765573,0.9227647607388432,202.64363,3,0.2058125048880015,-0.7169522558508417,-148.3118438720703,64.73304748535156,POINT (-148.3118438720703 64.73304748535156)
6437,437481.38965487474,7179053.852354048,196.18231781453403,0.74427657615348,196.6322,3,0.44988433390346927,-0.2943922422500107,-148.3126220703125,64.73037719726562,POINT (-148.3126220703125 64.73037719726562)
6438,437466.97478535865,7178954.645729743,195.8423207039997,1.011392902795962,196.37848,3,0.5361582999065604,-0.47523460288940167,-148.31288146972656,64.72948455810547,POINT (-148.31288146972656 64.72948455810547)
6439,437452.55911747576,7178855.439180591,195.8777157611597,0.9238183213549063,196.08536,3,0.20764190485593303,-0.7161764164989732,-148.31314086914062,64.72859191894531,POINT (-148.31314086914062 64.72859191894531)
6440,437438.1426512359,7178756.2327066,207.6461613280937,0.9005535040267852,208.19539,3,0.549227465851601,-0.35132603817518426,-148.3134002685547,64.72769927978516,POINT (-148.3134002685547 64.72769927978516)
6441,437423.01624269714,7178657.891486154,208.495250653098,0.9365233008817478,208.95392,3,0.45866780393325257,-0.4778554969484953,-148.3136749267578,64.72681427001953,POINT (-148.3136749267578 64.72681427001953)
6442,437408.59815921227,7178558.6851657,209.52698943558104,0.878909151355451,209.1248,3,-0.4021877998388561,-1.281096951194307,-148.31393432617188,64.72592163085938,POINT (-148.31393432617188 64.72592163085938)
6444,437380.48644140584,7178360.257669232,208.63056781014262,0.9768058932732735,208.7943,3,0.16372845450581508,-0.8130774387674584,-148.31443786621094,64.72413635253906,POINT (-148.31443786621094 64.72413635253906)
6445,437366.08362873096,7178261.901677718,207.8845223180179,1.0281310596779931,208.18532,3,0.300795675146162,-0.7273353845318311,-148.314697265625,64.72325134277342,POINT (-148.314697265625 64.72325134277342)
6448,437322.81748543854,7177964.283833439,211.33009332389042,0.9908474004190041,211.42601,3,0.09591680794551394,-0.8949305924734902,-148.3154754638672,64.72057342529295,POINT (-148.3154754638672 64.72057342529295)
6449,437309.1208046008,7177865.0629380215,217.65911587593445,1.0189225731076965,218.22444,3,0.5653256523858659,-0.45359692072183067,-148.3157196044922,64.71968078613281,POINT (-148.3157196044922 64.71968078613281)
6450,437294.7140443295,7177766.707318155,229.03240071023424,1.0357404244226,228.08626,3,-0.9461427756639296,-1.9818832000865296,-148.31597900390625,64.71879577636719,POINT (-148.31597900390625 64.71879577636719)
6451,437281.0158418523,7177667.48656306,241.85792468985053,0.8991324515056021,241.30081,3,-0.5571129222724096,-1.4562453737780117,-148.31622314453125,64.71790313720703,POINT (-148.31622314453125 64.71790313720703)
6452,437267.31688895455,7177568.265876614,262.83040482772356,0.9550502970366606,262.1936,3,-0.6368013120985552,-1.5918516091352157,-148.31646728515625,64.71701049804686,POINT (-148.31646728515625 64.71701049804686)
6453,437253.61718564417,7177469.045258816,270.46331681977165,0.7685349992667089,270.7755,3,0.3121958755408514,-0.4563391237258575,-148.31671142578125,64.71611785888673,POINT (-148.31671142578125 64.71611785888673)
6454,437238.46256628673,7177369.854937476,258.9714232058475,0.5491307333016362,259.5676,3,0.5961732296993887,0.04704249639775249,-148.31698608398438,64.71522521972658,POINT (-148.31698608398438 64.71522521972658)
6455,437224.77898888465,7177271.484568631,240.89774415079555,0.666487474166933,241.04631,3,0.14856627400914135,-0.5179212001577916,-148.31723022460938,64.71434020996094,POINT (-148.31723022460938 64.71434020996094)
6456,437210.3498592831,7177172.279283569,230.66364756086492,0.9970490033458633,229.84247,3,-0.8211792991461664,-1.8182283024920296,-148.31748962402344,64.71344757080077,POINT (-148.31748962402344 64.71344757080077)
