time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,land_cover_value,land_cover,lon,lat,geometry
2022-11-10 02:08:44.163192832,438671.66071769176,7175930.651375258,133.16669485565004,0.12027533605326847,133.38291747958522,0.017939336666871617,-0.0025646809842691217,5,0.216222623935181,0.09594728788191252,52.0,Shrub,-148.28630826269742,64.70257850079521,POINT (-148.28630826269742 64.70257850079521)
2022-11-10 02:08:44.164602880,438670.7508413231,7175940.606969374,133.17009781474866,0.06507828813942773,133.27879781631924,0.02176883177839575,-0.016895641903786954,5,0.10870000157058257,0.04362171343115484,52.0,Shrub,-148.28633157851863,64.70266764566394,POINT (-148.28633157851863 64.70266764566394)
2022-11-10 02:08:44.166014208,438669.84023822483,7175950.581434211,132.91003975629957,0.00895769647897626,133.17925522803452,0.021774478653210062,0.0001804555994045259,5,0.2692154717349524,0.26025777525597615,52.0,Shrub,-148.28635491776708,64.70275695968249,POINT (-148.28635491776708 64.70275695968249)
2022-11-10 02:08:44.167423232,438668.9339769896,7175960.537360085,132.99324463327756,0.103603146350569,133.23434267510117,0.018542763871326442,0.012674362211388897,5,0.24109804182361927,0.13749489547305027,52.0,Shrub,-148.2863781582407,64.70284610817575,POINT (-148.2863781582407 64.70284610817575)
2022-11-10 02:08:44.168834560,438668.0272625822,7175970.512266167,133.16266317739453,0.058272357476800256,133.28966851119938,0.014933574499590204,0.0015778146564943932,5,0.12700533380484558,0.06873297632804531,52.0,Shrub,-148.28640141645218,64.70293542685089,POINT (-148.28640141645218 64.70293542685089)
2022-11-10 02:08:44.170243328,438667.12244976626,7175980.46824614,133.07739219343787,0.10182376829506484,133.25270130275754,0.012192043483781284,-0.007939890312490512,5,0.17530910931967014,0.0734853410246053,52.0,Shrub,-148.28642462689032,64.70302457608321,POINT (-148.28642462689032 64.70302457608321)
2022-11-10 02:08:44.171654656,438666.2171355284,7175990.4433043245,133.05695449350202,0.07944533584402844,133.20542257293306,0.012514599409109364,-0.0021107205844904577,5,0.14846807943104068,0.06902274358701224,52.0,Shrub,-148.28644785612,64.70311389636785,POINT (-148.28644785612 64.70311389636785)
2022-11-10 02:08:44.173063424,438665.31528109824,7176000.399542755,133.0111932109895,0.05537413257655225,133.17127874217297,0.013001050626176146,-0.007666082465584308,5,0.16008553118348345,0.10471139860693121,52.0,Shrub,-148.28647100494777,64.70320304844769,POINT (-148.28647100494777 64.70320304844769)
2022-11-10 02:08:44.174475264,438664.41348131694,7176010.374851692,132.93344105895403,0.09586461593589386,133.1444228930267,0.013504071177407533,-0.0014914334871662111,5,0.21098183407266902,0.11511721813677515,52.0,Shrub,-148.286494160904,64.70329237161194,POINT (-148.286494160904 64.70329237161194)
2022-11-10 02:08:44.175881728,438663.5157089439,7176020.331495215,132.96748969334817,0.06409562168186184,133.18917058387717,0.013551770593201182,0.007357365909946473,5,0.22168089052900086,0.15758526884713903,52.0,Shrub,-148.28651722462112,64.70338152805938,POINT (-148.28651722462112 64.70338152805938)
