,time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,lon,lat,geometry,land_cover_value,land_cover,forest_cover
12,2022-04-23 00:18:19.672628480,440552.0441882025,7177620.045944779,136.14714148924563,0.7464677856997606,136.54570863867218,0.026756445275836,-0.007150832837177,1,0.3985671494265546,-0.347900636273206,-148.247577874413,64.71807129302734,POINT (-148.247577874413 64.71807129302734),52.0,Shrub,61.436065734629956
13,2022-04-23 00:18:19.674048000,440550.6294771405,7177610.149840899,135.91087699960076,0.6146491973169316,136.47441827858646,0.0237017364622405,-0.0044138200824852,1,0.5635412789856957,-0.0511079183312358,-148.24760346656936,64.71798226507377,POINT (-148.24760346656936 64.71798226507377),52.0,Shrub,59.25411053216094
14,2022-04-23 00:18:19.675469568,440549.20697659394,7177600.23683195,135.83059906834706,0.5148840509692222,136.4146607699159,0.0221804833226911,-0.0082421877314687,1,0.5840617015688565,0.0691776505996343,-148.24762921499865,64.71789308408341,POINT (-148.24762921499865 64.71789308408341),52.0,Shrub,54.36774373940074
15,2022-04-23 00:18:19.676889088,440547.7810793615,7177590.342225476,135.79048106217917,0.7525499189611141,136.3268007209088,0.0207133948758593,-0.0090729997795983,1,0.5363196587296386,-0.2162302602314755,-148.24765504212635,64.71780406757654,POINT (-148.24765504212635 64.71780406757654),52.0,Shrub,50.12635921763153
16,2022-04-23 00:18:19.678311424,440546.34789871005,7177580.430915844,135.6859412167355,0.8808475185059712,136.2766732374888,0.0157233925960425,-0.0038801394563859,1,0.5907320207533076,-0.2901154977526636,-148.24768101499043,64.71771489993347,POINT (-148.24768101499043 64.71771489993347),52.0,Shrub,49.22361652458882
17,2022-04-23 00:18:19.679730432,440544.91255305655,7177570.537451763,135.7648451866614,0.803283802434683,136.27061261597356,0.0181894388574241,0.0005785071829514,1,0.5057674293121579,-0.2975163731225251,-148.24770704048083,64.71762589199525,POINT (-148.24770704048083 64.71762589199525),52.0,Shrub,50.41734913128101
18,2022-04-23 00:18:19.681153024,440543.4718171803,7177560.62695108,135.68880593201618,0.8118896860765266,136.29196580187187,0.020398158429154,0.002324729808877,1,0.6031598698556877,-0.2087298162208388,-148.2477331718488,64.71753673026383,POINT (-148.2477331718488 64.71753673026383),52.0,Shrub,51.14935686463793
19,2022-04-23 00:18:19.682572544,440542.0288524509,7177550.734510481,135.67301975557996,0.7994098768492021,136.2476770716023,0.017012140538463,-0.0098266389518366,1,0.5746573160223534,-0.2247525608268487,-148.2477593572702,64.71744773015052,POINT (-148.2477593572702 64.71744773015052),52.0,Shrub,49.34235998126995
20,2022-04-23 00:18:19.683992064,440540.5725700823,7177540.825975163,135.6167676389949,0.8183694308370651,136.13120301156803,0.0172014723760713,-0.0097787363431874,1,0.5144353725731321,-0.303934058263933,-148.24778581526934,64.71735858329292,POINT (-148.24778581526934 64.71735858329292),52.0,Shrub,46.08207306388284
21,2022-04-23 00:18:19.685407744,440539.1124863463,7177530.935694514,135.65203111351298,0.8383839936314275,136.10262467920583,0.0164147126227273,0.0039335731593634,1,0.4505935656928557,-0.3877904279385717,-148.24781236039055,64.71726959952102,POINT (-148.24781236039055 64.71726959952102),52.0,Shrub,43.61682089439004
22,2022-04-23 00:18:19.686825728,440537.6485881256,7177521.028205786,135.64078764685647,0.7941658652499927,136.12462284465562,0.0164542347618508,-0.0015663867756737,1,0.4838351977991522,-0.3103306674508405,-148.2478389782552,64.71718046069584,POINT (-148.2478389782552 64.71718046069584),52.0,Shrub,43.86132904685998
23,2022-04-23 00:18:19.688239872,440536.1856025183,7177511.138417174,135.6561820065341,0.7216864939647436,136.05593398478936,0.0167142369092174,-0.0088509910143684,1,0.3997519782552672,-0.3219345157094764,-148.24786558411563,64.7170914808143,POINT (-148.24786558411563 64.7170914808143),52.0,Shrub,46.118447436609785
24,2022-04-23 00:18:19.689657344,440534.7205187373,7177501.230987807,135.6262795738916,0.6061674993962156,136.0251341556474,0.0206329656612969,0.0031035867251829,1,0.3988545817558133,-0.2073129176404022,-148.24789222653274,64.71700234230113,POINT (-148.24789222653274 64.71700234230113),52.0,Shrub,48.59711741338653
25,2022-04-23 00:18:19.691069952,440533.2589934274,7177491.340966583,135.46767505874377,0.7846502622062442,135.995605596065,0.0283068625370856,-0.0080527693935319,1,0.5279305373212253,-0.2567197248850189,-148.2479188013174,64.71691336057984,POINT (-148.2479188013174 64.71691336057984),52.0,Shrub,49.537875999228916
26,2022-04-23 00:18:19.692484352,440531.7966453339,7177481.433199204,135.21002305480653,0.7289754085025982,135.90122787032183,0.0306670391910529,-0.0104548631856207,1,0.6912048155153059,-0.0377705929872923,-148.2479453858584,64.71682421950676,POINT (-148.2479453858584 64.71682421950676),52.0,Shrub,48.66778364111791
27,2022-04-23 00:18:19.693896192,440530.3394930802,7177471.542590269,135.32899759291752,0.7942782276624336,135.84750635421867,0.0271419699879153,-0.0059944181968588,1,0.518508761301149,-0.2757694663612846,-148.24797186831455,64.71673523327487,POINT (-148.24797186831455 64.71673523327487),52.0,Shrub,46.47155894097129
28,2022-04-23 00:18:19.695308032,440528.8840393153,7177461.634077529,135.46727522587233,0.7657521560015005,135.80406232377575,0.0168635961708456,-0.0015331720038052,1,0.3367870979034251,-0.4289650580980754,-148.24799830756857,64.71664608672252,POINT (-148.24799830756857 64.71664608672252),52.0,Shrub,43.68031195243765
29,2022-04-23 00:18:19.696719104,440527.4354147261,7177451.742345101,135.3528630158919,0.7942828141814853,135.80405536726346,0.0168109133552642,0.0016153868211449,1,0.4511923513715601,-0.3430904628099251,-148.24802461031786,64.71655709190786,POINT (-148.24802461031786 64.71655709190786),52.0,Shrub,41.50423449782826
