,lat,lon,x,y,beam,is2_height,lidar_height,lidar_snow_depth,is2_snow_depth,geometry,snow_depth_residual
31952,64.71949673359724,-148.24716592894208,440574.79840028397,7177778.492070487,1,137.56256,137.35298913992614,301.0028772316355,0.20957189523011266,POINT (-148.24716592894208 64.71949673359724),-300.7933053364054
31954,64.71914015962047,-148.24726516932347,440569.28804205987,7177738.85318083,1,137.20401,136.7761306426238,54.41663325500509,0.42787936714182706,POINT (-148.24726516932347 64.71914015962047),-53.98875388786326
31957,64.71860530626938,-148.2474141894099,440561.01469256915,7177679.395865301,1,136.73573,136.377104893366,1.6699139302199981,0.3586281388605528,POINT (-148.2474141894099 64.71860530626938),-1.3112857913594453
31958,64.71842704054096,-148.2474642835254,440558.2368424873,7177659.579246564,1,136.6444,136.2399290638429,0.22826994638606035,0.4044648570555296,POINT (-148.2474642835254 64.71842704054096),0.17619491066946924
31959,64.71824879253923,-148.24751472570406,440555.4424168192,7177639.764932428,1,136.59265,136.20746513507964,0.9584746809026756,0.38518623210785563,POINT (-148.24751472570406 64.71824879253923),-0.57328844879482
31960,64.71807056530893,-148.24756564264516,440552.6253852228,7177619.953381086,1,136.52414,136.03214428817432,0.7778791608609156,0.49199511612255264,POINT (-148.24756564264516 64.71807056530893),-0.28588404473836293
31961,64.71789235772961,-148.24761698276419,440549.78820260364,7177600.144419344,1,136.34424,135.81466201927284,0.48064873160750315,0.5295762619771551,POINT (-148.24761698276419 64.71789235772961),0.04892753036965197
31962,64.71771417272086,-148.24766878440624,440546.9290479688,7177580.338408558,1,136.16864,135.60978608641545,0.8869152460232278,0.5588540503032959,POINT (-148.24766878440624 64.71771417272086),-0.32806119571993186
31963,64.71753600505737,-148.247720964697,440544.05185812135,7177560.534688785,1,136.19025,135.64689196271874,0.8080876430592577,0.5433546193125096,POINT (-148.247720964697 64.71753600505737),-0.2647330237467481
31964,64.71735785878889,-148.24777362842087,440541.1516489222,7177540.733809653,1,136.11046,135.5574559048009,0.8227974399431361,0.5530024692225481,POINT (-148.24777362842087 64.71735785878889),-0.269794970720588
31965,64.71717973436671,-148.24782674462332,440538.2298958158,7177520.935792466,1,135.98347,135.59191430053679,0.7941060285802709,0.39156043090852677,POINT (-148.24782674462332 64.71717973436671),-0.40254559767174414
31966,64.71700161465812,-148.24787997442934,440535.30270743143,7177501.138410202,1,135.85687,135.568703137478,0.6065549989637611,0.2881694211157537,POINT (-148.24787997442934 64.71700161465812),-0.31838557784800736
31967,64.71682349134475,-148.2479331130868,440532.37982145516,7177481.340543829,1,135.7626,135.14108710715183,0.6969904440591393,0.6215166526137921,POINT (-148.2479331130868 64.71682349134475),-0.07547379144534727
31968,64.71664535702547,-148.2479860136358,440529.4682241345,7177461.5412307,1,135.71848,135.42327177854722,0.7663632455930365,0.29520356324965746,POINT (-148.2479860136358 64.71664535702547),-0.471159682343379
31969,64.7164672042377,-148.2480385297149,440526.57487324555,7177441.739501885,1,135.74953,135.23143171364134,0.8294614702675576,0.5180952638977203,POINT (-148.2480385297149 64.7164672042377),-0.31136620636983725
31970,64.71628903357148,-148.2480906414994,440523.70071506966,7177421.935404467,1,135.63977,135.1307020709367,0.699968739563234,0.5090684368757934,POINT (-148.2480906414994 64.71628903357148),-0.19090030268744063
31971,64.71611083264771,-148.24814211333836,440520.8569514204,7177402.127337815,1,135.4952,135.08231192476396,0.660370940901594,0.41288155668135573,POINT (-148.24814211333836 64.71611083264771),-0.24748938422023825
31972,64.71593260212646,-148.24819295057986,440518.0433295072,7177382.315380422,1,135.32367,134.90962792142406,0.5894574177095675,0.414041512169689,POINT (-148.24819295057986 64.71593260212646),-0.1754159055398785
31973,64.71575434749916,-148.24824325840518,440515.2548500867,7177362.500242841,1,135.29213,134.68808965910944,0.679971420286754,0.6040398574921255,POINT (-148.24824325840518 64.71575434749916),-0.07593156279462843
31974,64.71557607601457,-148.24829321581504,440512.4830001276,7177342.682900764,1,135.1849,134.67248188226907,0.7941499151709538,0.5124241235903071,POINT (-148.24829321581504 64.71557607601457),-0.2817257915806467
31975,64.71539779551777,-148.24834296769131,440509.72089346795,7177322.864364329,1,134.89856,134.4269915937775,0.7079904878597822,0.47156797653499893,POINT (-148.24834296769131 64.71539779551777),-0.2364225113247833
31976,64.71521950670261,-148.24839255417575,440506.9666190316,7177303.04474851,1,134.75157,134.13896110283403,0.7830343474898482,0.6126105524394063,POINT (-148.24839255417575 64.71521950670261),-0.17042379505044192
31977,64.71504121789336,-148.2484421141026,440504.21357962396,7177283.225111198,1,134.87025,134.3940135314718,0.8025563529085684,0.4762409851297491,POINT (-148.2484421141026 64.71504121789336),-0.3263153677788193
31978,64.71486293210914,-148.24849176127302,440501.4563591015,7177263.405895663,1,134.81871,134.29219262826805,0.797036528198994,0.526517698880383,POINT (-148.24849176127302 64.71486293210914),-0.27051882931861093
31979,64.71468465248019,-148.24854154254697,440498.692731289,7177243.58749471,1,134.62122,134.16303558183228,0.7844888397087026,0.4581802384802245,POINT (-148.24854154254697 64.71468465248019),-0.32630860122847816
31980,64.71450638832872,-148.24859164218947,440495.9139359067,7177223.771120144,1,134.41711,133.93200741092537,0.8046908251880894,0.4851068468871347,POINT (-148.24859164218947 64.71450638832872),-0.31958397830095475
31981,64.71432814611137,-148.24864221692758,440493.11251840374,7177203.957638635,1,134.24763,133.8620739063842,0.7115793670569815,0.3855609813111016,POINT (-148.24864221692758 64.71432814611137),-0.32601838574587994
