time,lat,lon,x,y,beam,is2_height,n_fit_photons,h_sigma,dh_fit_dx,lidar_height,lidar_snow_depth,is2_snow_depth,geometry,snow_depth_residual
2022-04-23 00:18:19.648699136,64.71958610795076,-148.247140968152,440576.1836567426,7177788.427377277,10,137.5351442433404,91,0.02110644558323956,0.0011650543789634073,137.08325345271516,615.0356419824136,0.4518907906252423,POINT (-148.247140968152 64.71958610795076),-614.5837511917883
2022-04-23 00:18:19.654313984,64.71922954027607,-148.24724032708033,440570.66769494605,7177748.789298234,10,137.35634774072733,81,0.021439842091820517,-0.013903457248286271,136.89354816632846,61.81854862971197,0.462799574398872,POINT (-148.24724032708033 64.71922954027607),-61.3557490553131
2022-04-23 00:18:19.655719424,64.71914031699156,-148.24726512250652,440569.2906178292,7177738.870672307,10,137.200029023456,83,0.025305552941365408,-0.014013275167962068,136.77601649339567,54.54432105088304,0.4240125300603381,POINT (-148.24726512250652 64.71914031699156),-54.120308520822704
2022-04-23 00:18:19.659935744,64.71887296018181,-148.24733942369997,440565.1640812996,7177709.149600426,10,136.94835799275396,91,0.020150352134204942,-0.013536828823006691,136.4424799185079,0.9275088080250017,0.5058780742460556,POINT (-148.24733942369997 64.71887296018181),-0.4216307337789461
2022-04-23 00:18:19.662751744,64.71869467701535,-148.24738913650333,440562.4044066122,7177689.330676693,10,136.81603324290265,87,0.01712414831271161,-0.0057203716404972795,136.44042788813027,0.5091138505414466,0.3756053547723752,POINT (-148.24738913650333 64.71869467701535),-0.13350849576907142
2022-04-23 00:18:19.664165376,64.71860546058852,-148.24741408972167,440561.01978077705,7177679.412967102,10,136.75894704940296,87,0.015676659380899675,-0.005655209607218918,136.37703283374913,1.6700240104214052,0.3819142156538362,POINT (-148.24741408972167 64.71860546058852),-1.288109794767569
2022-04-23 00:18:19.665579264,64.71851640463683,-148.24743907261916,440559.6340852767,7177669.513167316,10,136.6884589623665,91,0.017897353175755585,-0.0061168143200719905,136.08326065474895,1.3439346257604563,0.6051983076175418,POINT (-148.24743907261916 64.71851640463683),-0.7387363181429145
2022-04-23 00:18:19.666995968,64.7184271941365,-148.24746417576162,440558.2423139141,7177659.59626015,10,136.67070582460252,82,0.018703416628743755,0.005391938847256035,136.23946381385326,0.2288197583916106,0.4312420107492585,POINT (-148.24746417576162 64.7184271941365),0.2024222523576479
2022-04-23 00:18:19.668412672,64.71833814603788,-148.24748933514934,440556.8482113149,7177649.697502399,10,136.6325812709361,71,0.017077416057512243,-0.009232772719686911,136.16563466844644,0.5252872494506117,0.46694660248965647,POINT (-148.24748933514934 64.71833814603788),-0.0583406469609552
2022-04-23 00:18:19.669833216,64.71824894779196,-148.24751463554708,440555.44705304294,7177639.78214719,10,136.5817645389701,71,0.017541818448321138,-0.0010028941853789863,136.20785726808285,0.9580433913587959,0.3739072708872584,POINT (-148.24751463554708 64.71824894779196),-0.5841361204715375
