,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat,geometry
2647,439652.899969063,7778236.514784187,25.186395538055866,4.832376090234213,25.569426,3,0.38303004482987646,-4.4493460454043365,-148.58901821633603,70.10380781114017,POINT (-148.58901821633603 70.10380781114017)
2648,439649.8406808296,7778216.744018218,25.236857474092133,0.8452527716535222,25.616562,3,0.3797044155563043,-0.4655483560972179,-148.58908515894706,70.1036298774594,POINT (-148.58908515894706 70.1036298774594)
2649,439646.78543721116,7778196.972637413,25.277281983894405,0.5306021959749772,25.674248,3,0.39696575780481425,-0.1336364381701629,-148.58915199355627,70.1034519391861,POINT (-148.58915199355627 70.1034519391861)
2650,439643.74634200137,7778177.198804128,25.305437186258974,0.4346750433790511,25.666637,3,0.3612002343953229,-0.07347480898372821,-148.58921840035813,70.10327398267874,POINT (-148.58921840035813 70.10327398267874)
2651,439640.7230166109,7778157.422574704,25.314279255743266,0.49417676329723237,25.670952,3,0.3566725875184531,-0.13750417577877927,-148.58928438936576,70.1030960083543,POINT (-148.58928438936576 70.1030960083543)
2652,439637.7033353405,7778137.645792443,25.28008118811718,0.541453413740971,25.704878,3,0.42479666527637505,-0.11665674846459595,-148.58935028097298,70.10291802990018,POINT (-148.58935028097298 70.10291802990018)
2653,439634.6849967948,7778117.868805594,25.505310561234822,0.37018832074383123,25.764507,3,0.25919673246635,-0.11099158827748123,-148.5894161359878,70.10274004989984,POINT (-148.5894161359878 70.10274004989984)
2654,439631.6655568897,7778098.091984124,25.55890255586167,0.3517332425779819,25.852753,3,0.29385012968520385,-0.05788311289277803,-148.5894820189861,70.10256207109794,POINT (-148.5894820189861 70.10256207109794)
2655,439628.6427458429,7778078.315675143,25.52102136354666,0.583749576845447,25.970783,3,0.4497618700959194,-0.13398770674952765,-148.58954798993895,70.10238409607497,POINT (-148.58954798993895 70.10238409607497)
2656,439625.6153842306,7778058.5400569,25.614555538633326,0.5191129169051012,26.072756,3,0.45820027496530713,-0.060912641939794065,-148.58961408000485,70.10220612615268,POINT (-148.58961408000485 70.10220612615268)
2657,439622.5768465793,7778038.766135963,25.81804641897103,0.44745004740944,26.157917,3,0.33987060373404887,-0.10757944367539113,-148.5896804642302,70.10202816880371,POINT (-148.5896804642302 70.10202816880371)
2658,439619.52771309944,7778018.993824561,26.029516518623314,0.34418340638941214,26.286423,3,0.25690621086887333,-0.08727719552053881,-148.58974712727834,70.10185022337676,POINT (-148.58974712727834 70.10185022337676)
2659,439616.47546607256,7777999.22198516,26.085649375147874,0.33055060328368047,26.363182,3,0.27753269272322,-0.05301791056046046,-148.58981387145826,70.10167228142534,POINT (-148.58981387145826 70.10167228142534)
2660,439613.42262139835,7777979.45023595,25.912413974206043,0.35381755015060895,26.287907,3,0.37549267252247276,0.02167512237186381,-148.5898806302981,70.10149434011554,POINT (-148.5898806302981 70.10149434011554)
2661,439610.3719150106,7777959.678162506,25.687232657146346,0.4988634052326944,26.152752,3,0.4655192654610758,-0.0333441397716186,-148.58994733151565,70.10131639637268,POINT (-148.58994733151565 70.10131639637268)
2662,439607.32601789234,7777939.905359277,25.547556583815584,0.5125900210986407,26.078121,3,0.5305646014871499,0.017974580388509187,-148.59001390454634,70.10113844718646,POINT (-148.59001390454634 70.10113844718646)
2663,439604.28766526404,7777920.131409735,25.493142557075124,0.5512772837919621,26.058523,3,0.5653806210254615,0.014103337233499436,-148.5900802771301,70.10096048946336,POINT (-148.5900802771301 70.10096048946336)
2664,439601.25689718616,7777900.356309099,25.4153423024554,0.5965771630710051,25.997337,3,0.5819950388531936,-0.014582124217811465,-148.59014644821457,70.10078252317014,POINT (-148.59014644821457 70.10078252317014)
2665,439598.23506795836,7777880.579851287,25.365138545688513,0.5803527404488996,25.937153,3,0.5720143168603151,-0.008338423588584498,-148.59021238202553,70.10060454677662,POINT (-148.59021238202553 70.10060454677662)
2666,439595.22660292854,7777860.8013623655,25.39621757757726,0.4706777696446535,25.940973,3,0.5447557042830908,0.07407793463843731,-148.59027796165617,70.1004265552777,POINT (-148.59027796165617 70.1004265552777)
2667,439592.2331938266,7777841.020586467,25.378586077071592,0.6504702855165013,25.995377,3,0.6167905098424704,-0.03367977567403091,-148.59034314242342,70.10024854677613,POINT (-148.59034314242342 70.10024854677613)
2668,439589.2544026982,7777821.2375904005,25.357911222851165,0.6094938149575483,26.03187,3,0.6739586654544993,0.06446485049695105,-148.59040793590756,70.10007052176866,POINT (-148.59040793590756 70.10007052176866)
2669,439586.29029283585,7777801.452363895,25.34730564042641,0.9641437461665585,26.175436,3,0.8281303794710517,-0.1360133666955068,-148.59047234044593,70.09989248017847,POINT (-148.59047234044593 70.09989248017847)
2670,439583.33699529944,7777781.665495759,25.399510198336255,0.9810166903111237,26.389004,3,0.9894935553258541,0.00847686501473044,-148.59053645825773,70.09971442637836,POINT (-148.59053645825773 70.09971442637836)
2671,439580.4025619596,7777761.875760352,25.381929476426144,1.173782182059861,26.531363,3,1.1494330571431917,-0.024349124916669407,-148.5906000766381,70.0995363512669,POINT (-148.5906000766381 70.0995363512669)
2672,439577.48660298315,7777742.083218138,25.449573257115013,1.251639918929533,26.610983,3,1.161409637782448,-0.09023028114708498,-148.59066320589892,70.09935825529539,POINT (-148.59066320589892 70.09935825529539)
2673,439574.56887392333,7777722.290945012,25.49394826728077,1.2083331879952315,26.643269,3,1.1493203179243068,-0.059012870070924706,-148.59072638085206,70.0991801612971,POINT (-148.59072638085206 70.0991801612971)
