,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual
7789,434980.2532982463,7765830.757781988,45.59984252729966,0.03494731850999476,45.721275,1,0.12143280229018671,0.08648548378019195
7792,434950.7122468836,7766129.498255653,45.206210073728116,0.04313655617015382,45.32915,1,0.12294107983633751,0.07980452366618368
7793,434941.26360242185,7766229.351169041,44.80651396580643,0.00702238569991087,45.002502,1,0.1959884755998189,0.18896608989990804
7794,434931.20987537235,7766328.369893487,44.57631427283755,0.04853194672549996,44.775856,1,0.19954174522885637,0.1510097985033564
7795,434921.76337871834,7766428.222905559,44.35562985543875,0.026061930034660653,44.50121,1,0.14557940359445354,0.11951747355979289
7796,434912.9002593833,7766528.059676365,44.5853099393086,0.0637781734021581,44.796772,1,0.21146206386522692,0.14768389046306882
7797,434902.87357660534,7766627.929073955,44.664306812729905,0.015184432299579442,44.8968,1,0.23249418214314233,0.21730974984356288
7798,434892.8242059395,7766726.948003317,44.622868606775995,0.03983373604531894,44.84722,1,0.22435276773572355,0.18451903169040462
7799,434883.96422347985,7766826.784913298,44.5241225775608,0.03065296718294432,44.69999,1,0.1758667412868533,0.14521377410390898
7800,434874.52304094913,7766926.638165746,44.412420157226904,0.017062140585359774,44.630074,1,0.21765339013637686,0.2005912495510171
7801,434864.4769178791,7767025.657246758,44.21640082936014,0.038200876992906654,44.434658,1,0.21825722117696955,0.1800563441840629
7802,434855.03788327466,7767125.510597773,44.06665695152435,0.02573093819469509,44.271652,1,0.20499527015533658,0.17926433196064148
7803,434846.182051593,7767225.347690115,43.99292282480445,0.04237741596364151,44.188034,1,0.19511123281273512,0.15273381684909362
7804,434836.72129055846,7767324.35061354,43.82528456910866,0.02396358692092188,44.01613,1,0.19084397093040195,0.16688038400948008
7805,434826.7033283765,7767424.220417796,43.670842463901124,0.0540900427560415,43.884686,1,0.21384305245629776,0.15975300970025624
7806,434817.26854437136,7767524.073960896,43.50507879736794,0.02967893318363139,43.717045,1,0.21196603295432226,0.18228709977069088
7807,434807.2289414983,7767623.093347577,43.386905371037514,0.029417634521613882,43.569244,1,0.1823390137281109,0.152921379206497
7808,434797.7963055238,7767722.946989138,43.227840725529816,0.030754351573156324,43.431377,1,0.2035366853588556,0.1727823337856993
7809,434788.9467230429,7767822.784357094,43.03066346870277,0.00736687459220758,43.24313,1,0.21246626152183978,0.2050993869296322
7810,434779.49233287974,7767921.787571154,42.764520157093244,0.007805376988318309,42.990494,1,0.22597361732081822,0.2181682403324999
7811,434769.4809189627,7768021.657680681,42.59038392630747,0.029200556707183994,42.797012,1,0.20662840279409522,0.17742784608691123
7812,434759.47061888326,7768121.527843213,42.50107221388966,0.018790571734133704,42.697533,1,0.1964604399189369,0.1776698681848032
7813,434750.0194514286,7768220.53120616,42.36408722534969,0.02399880044858678,42.52101,1,0.1569241271893702,0.13292532674078344
7814,434740.5932143923,7768320.385137958,42.224868627960916,0.06606581772594973,42.412315,1,0.18744674069142775,0.12138092296547802
7815,434731.1680412486,7768420.239117681,42.09645330306681,0.05041293328527629,42.21523,1,0.1187757313570188,0.0683627980717425
7816,434722.30186242977,7768519.226285615,42.01739424085268,0.029393904399296445,42.1164,1,0.09900743151059999,0.06961352711130354
7817,434712.2969970914,7768619.096700099,41.795876792741865,0.020257824889572208,41.887295,1,0.09141797654524453,0.07116015165567233
7818,434702.8750110643,7768718.950823572,41.673962096669776,0.03844284480549145,41.749718,1,0.07575561573256806,0.03731277092707661
7819,434693.43019016844,7768817.954474233,41.3943440362771,0.028755202565154063,41.49593,1,0.101585681740481,0.07283047917532692
7820,434683.4286117318,7768917.825042376,41.21522317373204,0.02933302717914377,41.34384,1,0.12861837900233297,0.0992853518231892
7821,434674.00983788574,7769017.679311977,41.04539912326635,6.12017526748289e-05,41.163055,1,0.11765629665552524,0.11759509490285042
7822,434665.14988105994,7769116.666755068,40.85835526534173,0.007933259704888082,41.030285,1,0.1719296162500683,0.16399635654518022
7823,434656.31484644907,7769216.504761896,40.8359137820529,0.04209492810767198,40.948227,1,0.11231314665803893,0.07021821855036695
7825,434636.29752878135,7769415.395827914,40.640631818652125,0.018504434586895324,40.79486,1,0.1542290211916253,0.13572458660472997
7826,434626.884065559,7769515.250336816,40.21985039246171,0.010712233676427808,40.39075,1,0.17090049254805706,0.16018825887162924
7827,434618.0532075132,7769615.088527513,39.84577301284007,0.02258639686696076,40.01724,1,0.1714656041032896,0.14887920723632883
7829,434599.20760621823,7769813.947259098,38.00027289246301,0.01669441580206277,38.17983,1,0.17955575133581902,0.16286133553375626
7831,434579.7848009063,7770012.822557821,38.14630741725699,0.051772598613129786,38.340923,1,0.19461589206918006,0.1428432934560503
7832,434570.3777125586,7770112.677353586,38.00298672287684,0.05613486147096556,38.1822,1,0.1792146626212059,0.12307980115024034
7834,434550.96139296266,7770311.552951512,37.96373656732143,0.03877723063212636,38.106174,1,0.1424379016727073,0.10366067104058095
7835,434542.1388590705,7770411.391507275,38.10672106657403,0.05259451464289398,38.279137,1,0.17241559114081184,0.11982107649791786
7836,434533.3173392761,7770511.230106039,38.11554410339748,0.02595805669423056,38.252857,1,0.13731310485447068,0.11135504816024012
7837,434523.33424969815,7770611.1015286725,38.13757310517731,0.04271443414355627,38.26305,1,0.12547697416839299,0.08276254002483671
7838,434513.9095545626,7770710.106090863,38.13622622839836,0.03369794416381952,38.23175,1,0.09552425988289315,0.06182631571907363
7843,434466.8979407113,7771208.531698176,38.31797064820333,0.01955855481301359,38.344353,1,0.02638207396464054,0.006823519151626951
