,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat
37840,440800.2557981786,7774347.96734422,26.589614457057287,0.09113223486627108,26.697367,3,0.10775225742025185,0.016620022553980776,-148.55620681740984,70.06921733526104
37841,440798.26266001846,7774367.8750880845,26.46995765206129,0.06944155920598065,26.602978,3,0.1330201006242575,0.06357854141827686,-148.55627254779867,70.06939532861972
37842,440796.25723460433,7774387.78161333,26.555460564792988,0.049025513157696446,26.53992,3,-0.01553975790822193,-0.06456527106591838,-148.55633860136567,70.06957330821271
37843,440794.24278748274,7774407.687244395,26.329596432804376,0.1537973986687844,26.450897,3,0.1213007839924991,-0.032496614676285285,-148.5564048925316,70.06975127769554
37844,440792.21723748324,7774427.5917719845,26.442806059137776,0.1018277376237883,26.453249,3,0.010442918523356326,-0.09138481910043197,-148.55647147584702,70.0699292347153
37845,440790.1808019419,7774447.495222508,26.418911394551703,0.142096945798374,26.585407,3,0.16649586252837523,0.02439891673000122,-148.55653834562628,70.07010717955819
37849,440782.06434511335,7774527.111927989,26.030646861021285,0.30400756675712154,25.966932,3,-0.06371456426835564,-0.3677221310254772,-148.55680506875052,70.07081899136452
37851,440778.0891024189,7774566.928508946,26.214158322795328,0.19401542514858983,27.330505,3,1.1163470482984224,0.9223316231498325,-148.55693626210376,70.07117498985401
37852,440776.13238949014,7774586.839864874,28.53568978028848,0.0055627453776081305,28.623846,3,0.08815627378866964,0.0825935284110615,-148.5570010503376,70.07135302361358
37853,440774.195062023,7774606.7531440705,28.673533850080823,0.015883739645328347,28.755695,3,0.08216149293675556,0.06627775329142721,-148.55706533157385,70.07153107902536
37854,440772.27605897153,7774626.66824082,28.673633391527467,0.021730181163095483,28.735584,3,0.061950867505736085,0.0402206863426406,-148.5571291336113,70.07170915489931
37856,440768.48331202404,7774666.502920286,28.611684848660946,0.016939367341132355,28.767382,3,0.155696819429874,0.13875745208874166,-148.55725555466663,70.07206535714491
37857,440766.60198157484,7774686.421752652,28.630522985990083,0.03414341425780614,28.756088,3,0.12556527084585412,0.09142185658804797,-148.55731837252782,70.07224347505328
37858,440764.7286715053,7774706.341380675,28.5608886476269,0.02910382430087994,28.731083,3,0.1701942686328657,0.14109044433198575,-148.55738098124525,70.07242160190465
37859,440762.8636489261,7774726.261828095,28.602633236598614,0.03582080375334034,28.727112,3,0.12447857980763644,0.08865777605429609,-148.5574433738101,70.07259973797319
37860,440760.9963017039,7774746.182046236,28.593038364478566,0.045171587832201966,28.69458,3,0.1015417136464336,0.05637012581423164,-148.55750582839605,70.07277787142739
37861,440759.11626819364,7774766.101007003,28.533285680384623,0.04616039138146273,28.646326,3,0.11304038467885391,0.06687999329739118,-148.55756861661726,70.07295599067722
37862,440757.21861850744,7774786.018219698,28.46706515120425,0.04925055194320176,28.593143,3,0.12607831193051666,0.07682775998731489,-148.55763186771068,70.073134090194
37863,440755.29810557194,7774805.9331652485,28.445353029779174,0.047319137393081745,28.558382,3,0.11302900452258413,0.06570986712950239,-148.5576957192343,70.073312164122
37864,440753.35418657196,7774825.845787796,28.418808018533785,0.04360097599815985,28.510157,3,0.09134861293594199,0.04774763693778214,-148.55776018543128,70.07349021183539
37865,440751.3815487238,7774845.755563379,28.378423484414235,0.01614353504944819,28.473446,3,0.0950224079197497,0.07887887287030151,-148.5578254055894,70.07366822741923
37866,440749.36951503006,7774865.661430822,28.39283655427498,0.034248813049285017,28.490095,3,0.09725858427482592,0.06300977122554091,-148.55789165961727,70.07384619891334
37867,440747.32920296554,7774885.56449542,28.346401651163337,0.029454765025923476,28.458479,3,0.11207727644896792,0.08262251142304444,-148.55795865610247,70.07402413877244
37868,440745.2780523619,7774905.466485344,28.345179137405168,0.027811313853326993,28.437971,3,0.09279197770713665,0.06498066385380966,-148.5580259378803,70.07420206648412
37869,440743.22333749884,7774925.368119003,28.30013974355047,0.006903748545531744,28.652384,3,0.3522440607708184,0.34534031222528666,-148.55809331426028,70.07437999015517
37873,440735.11853954295,7775004.985973498,27.933290694842384,0.023265530062595696,28.079721,3,0.14643075596328003,0.12316522590068434,-148.55835984123897,70.07509181215708
