,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat
7031,440799.0963572232,7774357.8236313965,26.568771996931293,0.03496055308186272,26.646461,3,0.07768948988511326,0.04272893680325054,-148.55624389648438,70.06930541992188
7034,440769.5625139952,7774656.474124047,28.611023769641655,0.01297378621909785,28.746979,3,0.13595499012397028,0.12298120390487242,-148.55722045898438,70.07197570800778
7035,440759.9207159899,7774756.302972994,28.573177576392965,0.033715536428976046,28.69003,3,0.11685156789414464,0.0831360314651686,-148.5575408935547,70.07286834716795
7036,440750.25823288225,7774855.2812961675,28.422287078124775,0.04499521967032263,28.49796,3,0.07567205883811567,0.030676839167793048,-148.557861328125,70.0737533569336
7038,440730.3997673203,7775054.954085193,28.019934138740457,0.031074700429085944,28.084185,3,0.06425050786598874,0.03317580743690279,-148.5585174560547,70.0755386352539
7039,440720.7404787241,7775153.932561327,27.793604311501063,0.04005851752257591,27.88344,3,0.08983570619913195,0.04977718867655604,-148.558837890625,70.07642364501953
7040,440711.1040100563,7775253.761663438,27.63191041087773,0.02857378185572639,27.785494,3,0.15358343983027822,0.12500965797455182,-148.5591583251953,70.07731628417969
7041,440701.4686041221,7775353.590815652,27.53124700527709,0.03771314499657334,27.631233,3,0.09998621005494002,0.062273065058366675,-148.55947875976562,70.07820892333984
7042,440691.834260931,7775453.420017957,27.328331016352465,0.030292725147847928,27.456709,3,0.12837789172859004,0.09808516658074212,-148.55979919433597,70.0791015625
7045,440662.33581916994,7775752.072207657,26.846668737277774,0.025531022518892773,26.971354,3,0.12468479360601492,0.09915377108712214,-148.56077575683594,70.08177185058594
7046,440651.5240041016,7775851.080758583,26.535676382449406,0.04031076111410841,26.704172,3,0.1684957519500081,0.12818499083589968,-148.56112670898438,70.08265686035156
7047,440641.8950405293,7775950.910218747,26.54977820722273,0.04201204862755665,26.667604,3,0.11782623918840329,0.07581419056084665,-148.5614471435547,70.08354949951172
