time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,lon,lat,land_cover_value,land_cover,geometry
2022-10-04 16:35:35.635896320,434383.8807175978,7775011.537981553,32.59480049407213,0.024951038881832255,32.08586357624312,0.01686074365333149,0.01150003990337135,3,-0.5089369178290113,-0.5338879567108435,-148.7252789392573,70.07361646660186,31.0,Barren Land,POINT (-148.7252789392573 70.07361646660186)
2022-10-04 16:35:35.637308416,434382.2945078149,7775001.651558387,32.64189367097597,0.03896987419908875,32.13566997054829,0.015751741312252363,0.0009161662746907224,3,-0.5062237004276753,-0.545193574626764,-148.7253132654717,70.07352745129154,31.0,Barren Land,POINT (-148.7253132654717 70.07352745129154)
2022-10-04 16:35:35.651403008,434366.0940134496,7774902.910701988,32.70366119345394,0.012378678759489984,32.1864815428789,0.01499980563608647,0.00637399957237014,3,-0.5171796505750379,-0.5295583293345278,-148.7256654956457,70.0726383177125,52.0,Shrub,POINT (-148.7256654956457 70.0726383177125)
2022-10-04 16:35:35.658443776,434357.9771672098,7774853.549907481,32.83310126449727,0.013433545800677009,32.320992663546775,0.016638436610170174,0.006412426361725209,3,-0.5121086009504978,-0.5255421467511748,-148.72584204292536,70.07219383277798,52.0,Shrub,POINT (-148.72584204292536 70.07219383277798)
2022-10-04 16:35:35.664081152,434351.62692871335,7774814.032823586,32.800508197947785,0.02003441190594922,32.2977556945818,0.01436391550556496,0.0027784187213419557,3,-0.5027525033659828,-0.522786915271932,-148.72597949043288,70.07183802608249,52.0,Shrub,POINT (-148.72597949043288 70.07183802608249)
2022-10-04 16:35:35.666902784,434348.53873729415,7774794.260417209,32.84181077733061,0.0252759570532144,32.322230662050316,0.015665189255423796,0.00015438668008756388,3,-0.5195801152802915,-0.5448560723335059,-148.72604591800425,70.07166002049732,52.0,Shrub,POINT (-148.72604591800425 70.07166002049732)
2022-10-04 16:35:35.671137024,434343.93618196785,7774764.590047941,32.87759433878999,0.004335110085401476,32.36527608757762,0.016160185551916673,0.0019861777752282522,3,-0.5123182512123705,-0.516653361297772,-148.72614476727978,70.07139291421647,52.0,Shrub,POINT (-148.72614476727978 70.07139291421647)
2022-10-04 16:35:35.672547840,434342.4064451497,7774754.708030644,32.84980459855586,0.01157529880021079,32.376623179993196,0.01566420961645789,-0.0019798900784027775,3,-0.4731814185626675,-0.4847567173628783,-148.72617760563466,70.07130395255878,52.0,Shrub,POINT (-148.72617760563466 70.07130395255878)
2022-10-04 16:35:35.676781312,434337.80551048566,7774725.037204803,32.84137840322117,0.019466998351258636,32.365404387313816,0.016631857125753227,0.005198244580119414,3,-0.47597401590735444,-0.4954410142586131,-148.72627640865082,70.07103684251842,11.0,Open Water,POINT (-148.72627640865082 70.07103684251842)
2022-10-04 16:35:35.678190592,434336.26413216436,7774715.157506974,32.90278627676621,0.01481732386309998,32.42866025099083,0.016831188739298782,0.010281591351533264,3,-0.47412602577537655,-0.4889433496384765,-148.72630955350544,70.07094789866761,11.0,Open Water,POINT (-148.72630955350544 70.07094789866761)
2022-10-04 16:35:35.679601408,434334.7161873988,7774705.265052223,32.986857220917756,0.022711663383202015,32.48251348516826,0.017230381171271812,0.0027439426846982366,3,-0.5043437357494938,-0.5270553991326957,-148.72634286111676,70.07085883880133,11.0,Open Water,POINT (-148.72634286111676 70.07085883880133)
2022-10-04 16:35:35.682422016,434331.612647146,7774685.494846711,32.965925767662455,0.016964649898357033,32.458954606283584,0.014742888640385008,0.0008267121408248488,3,-0.5069711613788712,-0.5239358112772282,-148.72640968746424,70.07068084889843,11.0,Open Water,POINT (-148.72640968746424 70.07068084889843)
2022-10-04 16:35:35.693684992,434318.8057881588,7774606.477613909,33.31381211464148,0.022168217690969803,32.799707357087065,0.01776906465868035,0.006591713278650921,3,-0.5141047575544135,-0.5362729752453833,-148.7266873466402,70.0699693592215,11.0,Open Water,POINT (-148.7266873466402 70.0699693592215)
2022-10-04 16:35:35.695089408,434317.19081235677,7774596.609636474,33.19529995486745,0.03523079000993493,32.81205378211444,0.016468287069206826,-0.0034270827279114526,3,-0.38324617275301165,-0.4184769627629466,-148.72672243049726,70.06988050164414,11.0,Open Water,POINT (-148.72672243049726 70.06988050164414)
2022-10-04 16:35:35.696494848,434315.5732594575,7774586.728344083,33.13128913137465,0.016350893459515625,32.81712300564394,0.015819904485153816,0.0031943824755796017,3,-0.3141661257307078,-0.3305170191902234,-148.72675757185365,70.0697915240619,11.0,Open Water,POINT (-148.72675757185365 70.0697915240619)
2022-10-04 16:35:35.697900032,434313.9574032154,7774576.86059079,33.30973780342087,0.04039611375290315,32.84439739437948,0.014673681800024834,0.003665820707558398,3,-0.46534040904139573,-0.5057365227942989,-148.72679267841784,70.0697026682551,11.0,Open Water,POINT (-148.72679267841784 70.0697026682551)
2022-10-04 16:35:35.703516672,434307.50827655167,7774537.359117318,33.26320090728075,0.020504455069266778,32.90781361044526,0.01540464589241193,0.00240301514765896,3,-0.3553872968354881,-0.3758917519047549,-148.7269327033696,70.06934697556906,11.0,Open Water,POINT (-148.7269327033696 70.06934697556906)
2022-10-04 16:35:35.704918272,434305.9038891739,7774527.475894107,33.26985504516223,0.014953063334548392,32.957805337092175,0.0182530227496469,0.010865304500230098,3,-0.31204970807005594,-0.3270027714046043,-148.7269674956128,70.06925798398132,11.0,Open Water,POINT (-148.7269674956128 70.06925798398132)
2022-10-04 16:35:35.706319360,434304.3039060149,7774517.605246254,33.51708271745859,0.03237654085247843,33.06089824915866,0.016955536885730108,0.011536093912404913,3,-0.45618446829993076,-0.4885610091524092,-148.72700218121557,70.06916910621902,11.0,Open Water,POINT (-148.72700218121557 70.06916910621902)
2022-10-04 16:35:35.710529792,434299.5408920953,7774487.960887896,33.43094253689303,0.040673083966593714,32.911353266046966,0.01899536506500074,-0.02421952352709561,3,-0.5195892708460619,-0.5602623548126556,-148.72710524173627,70.06890219173724,11.0,Open Water,POINT (-148.72710524173627 70.06890219173724)
2022-10-04 16:35:35.717558784,434291.69261509296,7774438.556573971,33.231799021041525,0.06404496800535553,32.732160411966916,0.01601091264918468,-0.002098241050208305,3,-0.49963860907460855,-0.5636835770799641,-148.72727463909916,70.06845738345598,11.0,Open Water,POINT (-148.72727463909916 70.06845738345598)
2022-10-04 16:35:35.718968064,434290.13156034565,7774428.666196974,33.249947155232086,0.005135441162969173,32.75102357133585,0.015365394446801654,0.005691549818601794,3,-0.4989235838962358,-0.504059025059205,-148.72730828467252,70.06836833868795,11.0,Open Water,POINT (-148.72730828467252 70.06836833868795)
2022-10-04 16:35:35.720379136,434288.575281158,7774418.788719408,33.240271106196545,0.051188910242318565,32.785154068592064,0.013997529405267141,-0.0017641418786877366,3,-0.45511703760448086,-0.5063059478467994,-148.72734181410704,70.06827941074503,11.0,Open Water,POINT (-148.72734181410704 70.06827941074503)
2022-10-04 16:35:35.721790720,434287.01644896413,7774408.898171533,33.258642661081446,0.041958937644671415,32.79792415533055,0.01659650906080669,0.0029547142014209704,3,-0.4607185057508971,-0.5026774433955685,-148.7273754005954,70.06819036499654,11.0,Open Water,POINT (-148.7273754005954 70.06819036499654)
