,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat
3138,430075.8244463457,7768741.59292809,42.95753714167893,0.013479152508645658,42.456413,1,-0.5011238726359579,-0.5146030251446035,-148.83352473853003,70.01629240140898
3140,430069.6522903543,7768702.049221597,43.02320666068901,0.017030605743094472,42.50165,1,-0.5215548967729973,-0.5385855025160917,-148.83365530160714,70.01593632260561
3142,430063.4026738701,7768662.518084768,43.08519067893488,0.014303483370601382,42.588573,1,-0.496617223124332,-0.5109207064949334,-148.83378789996874,70.01558033546692
3145,430053.87672893895,7768603.245606002,43.19950097498287,0.014811484226149179,42.688274,1,-0.5112265914379464,-0.5260380756640956,-148.833990778567,70.0150465308269
3147,430047.45108945656,7768563.742780936,43.257579160637306,0.007526338316081271,42.74132,1,-0.5162575969166028,-0.5237839352326841,-148.83412800032607,70.01469074968998
3148,430044.2279813681,7768543.992914551,43.3077586032923,0.016192090587410134,42.79916,1,-0.50859859963019,-0.5247906902176002,-148.83419688027544,70.01451287016157
3149,430041.00375121215,7768524.243216312,43.328531993284656,0.015788686164861405,42.810932,1,-0.5175998338608281,-0.5333885200256895,-148.83426578860025,70.01433499180912
3152,430031.3668129198,7768464.988676882,43.40102939996892,0.0030522797091299177,42.8774,1,-0.5236299553888415,-0.5266822350979714,-148.83447156556622,70.01380131742721
3153,430028.1708910237,7768445.234542762,43.38730271331039,0.013469653760046675,42.89126,1,-0.4960444735642966,-0.5095141273243433,-148.83453972405164,70.0136234068413
3154,430024.976839951,7768425.4801058,43.432077890101795,0.025749234703238463,42.94136,1,-0.49071741646898204,-0.5164666511722205,-148.83460783213476,70.01344549401801
3155,430021.78500923794,7768405.725254201,43.48020697249801,0.005835642098101283,42.980625,1,-0.4995818199101194,-0.5054174620082207,-148.83467588057053,70.01326757804969
3157,430015.4080864016,7768366.214443654,43.54402294616072,0.016965142598973405,43.076424,1,-0.46759930114119186,-0.4845644437401653,-148.83481179658287,70.01291173792313
3158,430012.2115616143,7768346.460364696,43.58884744271754,0.026752484171634137,43.120102,1,-0.46874551400659925,-0.49549799817823337,-148.83487996518426,70.01273382752971
3159,430009.0052325215,7768326.707816459,43.59139143027936,0.027921822039808544,43.137856,1,-0.45353590049420234,-0.48145772253401087,-148.83494839072057,70.01255592818212
3160,430005.80958325416,7768306.9536967445,43.677305060166034,0.011547021413348131,43.18948,1,-0.48782523228517505,-0.49937225369852317,-148.83501653405764,70.0123780176038
3161,430002.6329500159,7768287.1963678375,43.70910240030281,0.021804313072885047,43.25657,1,-0.45253349161140477,-0.4743378046842898,-148.83508417550556,70.01220008336655
3162,429999.4782455079,7768267.43565797,43.77496383351097,0.013228290580370311,43.303234,1,-0.47172973316916966,-0.48495802374954,-148.8351512386305,70.01202212471743
3163,429996.3482589219,7768247.670770851,43.797411221484936,0.02159527531108018,43.333126,1,-0.4642851533697012,-0.4858804286807814,-148.8352176497444,70.01184413527305
3164,429993.2377378591,7768227.902874823,43.80901484277399,0.021522863048993673,43.370647,1,-0.4383674123540686,-0.45989027540306227,-148.83528354739266,70.01166612408785
3165,429990.1689324634,7768208.128290691,43.84502464943813,0.004969882455872474,43.40358,1,-0.4414449375240679,-0.44641481997994037,-148.83534834576074,70.01148806419255
3166,429987.1464438622,7768188.346201701,43.90373909115797,0.02159242979296108,43.457005,1,-0.44673454403883284,-0.4683269738317939,-148.8354119236895,70.01130994950985
3167,429984.1261793466,7768168.563770128,43.958550303206465,0.005363417297193113,43.53369,1,-0.42485889695646506,-0.4302223142536582,-148.8354754420123,70.01113183233242
3168,429981.08945133886,7768148.784100602,43.975811175673726,0.011446926395214024,43.574474,1,-0.40133684095692956,-0.4127837673521436,-148.83553939275777,70.01095373544167
3169,429978.0228645895,7768129.009083702,44.016680348330866,0.0029407005926337126,43.634556,1,-0.3821245316804749,-0.3850652322731086,-148.83560412833273,70.0107756721658
3170,429974.9171230831,7768109.24031874,44.13714557242626,0.04003397807902075,43.701645,1,-0.43550067496532563,-0.4755346530443464,-148.83566989351237,70.01059765432868
3171,429971.7724981804,7768089.47792399,44.09299796312678,0.03036699795915406,43.699677,1,-0.393321449454902,-0.42368844741405604,-148.83573668125507,70.01041968306242
3172,429968.5562168396,7768069.727187286,44.10234118172646,0.015658145318405987,43.715862,1,-0.3864789075565369,-0.4021370528749429,-148.8358053542671,70.01024179691123
3173,429965.2447254037,7768049.9913903335,44.10137286094367,0.010621552011849307,43.737633,1,-0.36374010947882596,-0.3743616614906753,-148.8358765321234,70.01006401892678
3174,429961.9010111956,7768030.261080506,44.14106868968676,0.008999921553233222,43.762383,1,-0.3786861823625429,-0.3876861039157761,-148.83594855724314,70.00988628139153
3175,429958.5564775375,7768010.530798177,44.16486313067411,0.03025659436277397,43.789543,1,-0.3753199788186379,-0.4055765731814118,-148.836020602641,70.00970854385065
3176,429955.23021360167,7767990.797540099,44.21125117832156,0.036227400618584725,43.86192,1,-0.34933177524538905,-0.38555917586397376,-148.8360921658821,70.00953078454135
3177,429951.940216269,7767971.058384715,44.228735641459465,0.028593534365379644,43.902897,1,-0.32583876035594983,-0.3544322947213295,-148.83616277322653,70.0093529821388
3178,429948.68937134265,7767951.313101742,44.2781908273179,0.04717508126648832,43.91718,1,-0.3610117196518843,-0.4081868009183726,-148.8362323489207,70.0091751353594
3179,429945.52095145796,7767931.55439692,44.30812463600601,0.04663560368427679,43.95148,1,-0.35664377052749785,-0.4032793742117746,-148.83629975368305,70.00899719051384
3180,429942.45844553853,7767911.778700484,44.300230071884485,0.021728559001574548,43.990833,1,-0.3093967894137819,-0.33112534841535646,-148.83636436945065,70.00881912195304
3181,429939.4412425969,7767891.995878803,44.34511290038891,0.03844704034220262,43.997616,1,-0.3474970861799278,-0.38594412652213045,-148.83642779179235,70.00864100174024
3182,429936.43503750867,7767872.211246358,44.35240746111455,0.04231882115006955,44.027035,1,-0.32537270159306786,-0.36769152274313743,-148.83649092355162,70.0084628682439
3183,429933.4224188918,7767852.427577271,44.3767855586197,0.042428481976631446,44.072025,1,-0.3047602595474359,-0.34718874152406737,-148.83655422301064,70.0082847416253
3184,429930.38554611703,7767832.647718887,44.48419960487752,1.7864228731686216,44.104652,1,-0.379547200092361,-2.165970073260983,-148.8366181597378,70.00810664258563
2830,434337.8014498197,7774725.024642777,32.84172273289185,0.019383265473409322,32.35434,3,-0.48738313328247784,-0.5067663987558871,-148.72627650599387,70.0710367288929
2832,434331.6012190696,7774685.483181377,32.966010946504404,0.016998309084497717,32.456127,3,-0.5098837797563576,-0.5268820888408553,-148.72640997904995,70.07068074143882
