time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,beam,residual,snow_depth_residual,lon,lat,geometry
2022-03-04 02:48:03.906116608,435730.95545419777,7774026.513462764,33.089651527836835,0.5158527827194391,33.532845665831736,0.00887293677822449,5,0.4431941379949009,-0.0726586447245382,-148.68916149285292,70.06512585260792,POINT (-148.68916149285292 70.06512585260792)
2022-03-04 02:48:03.907540224,435729.4692793959,7774016.615372163,33.088898025424456,0.530215181456776,33.53187432203572,0.010145152416500321,5,0.44297629661126336,-0.08723888484551268,-148.68919332388967,70.06503676427381,POINT (-148.68919332388967 70.06503676427381)
2022-03-04 02:48:03.908961792,435727.9848020469,7774006.730326823,33.13501839867163,0.530175488159807,33.551027903836086,0.010376087523351804,5,0.41600950516445323,-0.11416598299535374,-148.68922511956916,70.06494779328322,POINT (-148.68922511956916 70.06494779328322)
2022-03-04 02:48:03.910384128,435726.49840647925,7773996.832284444,33.14868785806506,0.47294525356561284,33.59501784219764,0.009566337270083748,5,0.44632998413258207,-0.026615269433030775,-148.689256955903,70.06485870531412,POINT (-148.689256955903 70.06485870531412)
2022-03-04 02:48:03.911805440,435725.01391320897,7773986.947210668,33.15859853648095,0.5934157668999817,33.62405786710158,0.009774653102272607,5,0.46545933062062517,-0.1279564362793565,-148.6892887514435,70.06476973405235,POINT (-148.6892887514435 70.06476973405235)
2022-03-04 02:48:03.913228032,435723.5273177406,7773977.049220377,33.189001697941464,0.45758330431883354,33.60070273660989,0.009517272575600458,5,0.41170103866842567,-0.04588226565040787,-148.68932059252907,70.06468064648807,POINT (-148.68932059252907 70.06468064648807)
2022-03-04 02:48:03.914648576,435722.0431091646,7773967.164159845,33.19454240042462,0.5041079681936501,33.57999133996224,0.009388361736531984,5,0.3854489395376177,-0.1186590286560324,-148.68935238006446,70.06459167540336,POINT (-148.68935238006446 70.06459167540336)
2022-03-04 02:48:03.916069120,435720.55765446636,7773957.266009544,33.226154567087086,0.45231318286518163,33.58492092961712,0.009918687082513455,5,0.3587663625300337,-0.09354682033514794,-148.68938419053106,70.06450258667599,POINT (-148.68938419053106 70.06450258667599)
2022-03-04 02:48:03.917488128,435719.0724878357,7773947.381037913,33.227284740644706,0.42599232190359054,33.596363425576435,0.010360602618223438,5,0.36907868493172913,-0.056913636971861414,-148.6894160027606,70.0644136161377,POINT (-148.6894160027606 70.0644136161377)
2022-03-04 02:48:03.918906880,435717.58766340837,7773937.482752622,33.239553346179555,0.5527255378472283,33.627601334979246,0.010164597218534317,5,0.38804798879969127,-0.16467754904753706,-148.68944779603643,70.06432452634463,POINT (-148.68944779603643 70.06432452634463)
2022-03-04 02:48:03.920316672,435716.1125359097,7773927.59631057,33.272735994848524,0.42065678037701465,33.662989310348436,0.009018780098591363,5,0.39025331549991193,-0.030403464877102715,-148.68947934295872,70.06423554510928,POINT (-148.68947934295872 70.06423554510928)
2022-03-04 02:48:03.921731328,435714.639739184,7773917.696215118,33.280179435150146,0.5662730063142861,33.7045653545986,0.009798407604666307,5,0.4243859194484543,-0.14188708686583185,-148.689510818448,70.06414644206832,POINT (-148.689510818448 70.06414644206832)
2022-03-04 02:48:03.923137280,435713.1679856805,7773907.809212068,33.28250404782419,0.5299588351004637,33.71685961437779,0.011119454971654596,5,0.43435556655359875,-0.09560326854686496,-148.68954227580528,70.064057456631,POINT (-148.68954227580528 70.064057456631)
2022-03-04 02:48:03.924547328,435711.693210491,7773897.909421713,33.293506836436464,0.5145922408896813,33.74633249481184,0.009955884456087305,5,0.4528256583753745,-0.06176658251430678,-148.68957380295367,70.06396835582083,POINT (-148.68957380295367 70.06396835582083)
2022-03-04 02:48:03.925953536,435710.2185016541,7773888.022866178,33.30751254302632,0.6122946197265501,33.755238909794805,0.009647123447557615,5,0.4477263667684852,-0.16456825295806488,-148.689605337733,70.06387937364802,POINT (-148.689605337733 70.06387937364802)
2022-03-04 02:48:03.927360768,435708.7392730949,7773878.123796545,33.31787001897514,0.5018307828943375,33.7352364615357,0.009956469290258202,5,0.41736644256055655,-0.08446434033378092,-148.68963698184922,70.06379027817877,POINT (-148.68963698184922 70.06379027817877)
2022-03-04 02:48:03.928763392,435707.2593837227,7773868.23802029,33.35736819503407,0.47347160378778214,33.736107667103646,0.009952516609330856,5,0.3787394720695758,-0.09473213171820632,-148.68966865273842,70.06370130169098,POINT (-148.68966865273842 70.06370130169098)
2022-03-04 02:48:03.930168320,435705.77436683606,7773858.339795077,33.34298137710364,0.5038596860337972,33.73774809188847,0.010081357512071742,5,0.3947667147848293,-0.10909297124896788,-148.68970044897404,70.06361221233944,POINT (-148.68970044897404 70.06361221233944)
2022-03-04 02:48:03.931571712,435704.28795173013,7773848.4550192505,33.38653517669903,0.4601169819017532,33.78124378298672,0.009833535910675841,5,0.39470860628769344,-0.06540837561405977,-148.68973229146408,70.06352324318433,POINT (-148.68973229146408 70.06352324318433)
2022-03-04 02:48:03.932974080,435702.7959245486,7773838.557867125,33.44260792295613,0.5102321827009559,33.869109719210265,0.008781200809028705,5,0.4265017962541364,-0.08373038644681952,-148.68976427207815,70.0634341616962,POINT (-148.68976427207815 70.0634341616962)
2022-03-04 02:48:03.934377216,435701.30135498487,7773828.674311366,33.492510503359256,0.5598330317305446,33.91557660301776,0.008742584860427057,5,0.42306609965850583,-0.13676693207203872,-148.68979632910475,70.06334520143743,POINT (-148.68979632910475 70.06334520143743)
2022-03-04 02:48:03.935781120,435699.80001823267,7773818.778587156,33.530786592489775,0.46241696630605106,33.940658608139564,0.008656444225173731,5,0.40987201564978903,-0.052544950656262024,-148.68982855474363,70.06325613042135,POINT (-148.68982855474363 70.06325613042135)
2022-03-04 02:48:03.937183744,435698.29737069726,7773808.896260389,33.54533196620174,0.46864444430859664,33.98356507075238,0.00906078416140872,5,0.43823310455063336,-0.030411339757963285,-148.6898608242988,70.06316717915767,POINT (-148.6898608242988 70.06316717915767)
2022-03-04 02:48:03.938589184,435696.7887906785,7773799.0016486775,33.624883347805934,0.5021903721596599,34.00818855170209,0.00942870375467683,5,0.38330520389615685,-0.11888516826350304,-148.68989324045367,70.0630781162999,POINT (-148.68989324045367 70.0630781162999)
2022-03-04 02:48:03.939990784,435695.2717768052,7773789.121502254,33.63499367999023,0.4406873132723841,34.02302294679714,0.009729353043442789,5,0.3880292668069103,-0.052658046465473785,-148.6899258883929,70.06298918099506,POINT (-148.6899258883929 70.06298918099506)
2022-03-04 02:48:03.941397504,435693.7448613167,7773779.2295822,33.70353582726831,0.5298694144607343,34.07794088275417,0.010192092074120135,5,0.3744050554858589,-0.15546435897487543,-148.68995878755078,70.06290013769221,POINT (-148.68995878755078 70.06290013769221)
2022-03-04 02:48:03.942801152,435692.2159525379,7773769.351323908,33.78597052467717,0.4242691701206486,34.100467949034176,0.009808107251947596,5,0.31449742435700756,-0.10977174576364102,-148.6899917487381,70.06281121634103,POINT (-148.6899917487381 70.06281121634103)
2022-03-04 02:48:03.944208128,435690.68151138054,7773759.460590411,33.83837678949118,0.31512142188335784,34.08398110363379,0.010078588695661141,5,0.24560431414261075,-0.0695171077407471,-148.69002484586863,70.06272218178947,POINT (-148.69002484586863 70.06272218178947)
2022-03-04 02:48:03.945614080,435689.1468410736,7773749.583174316,33.710731069719614,0.5182071397621324,34.11587653125541,0.010256527306863663,5,0.40514546153579545,-0.11306167822633695,-148.69005795844046,70.06263326654145,POINT (-148.69005795844046 70.06263326654145)
2022-03-04 02:48:03.947020800,435687.60819315154,7773739.692989802,33.675900716834946,0.5916299604602447,34.13448761499527,0.010069996315822154,5,0.45858689816032694,-0.1330430622999178,-148.6900911659032,70.06254423585143,POINT (-148.6900911659032 70.06254423585143)
2022-03-04 02:48:03.948427520,435686.0704618783,7773729.816105679,33.69910135761995,0.5250039904455877,34.1751630240037,0.010259087915408516,5,0.4760616663837496,-0.04894232406183807,-148.69012435869982,70.06245532459731,POINT (-148.69012435869982 70.06245532459731)
2022-03-04 02:48:03.949836288,435684.53027227946,7773719.926233325,33.699571318682786,0.7277870108031684,34.244207506833654,0.010811527463783813,5,0.5446361881508679,-0.18315082265230054,-148.69015760632146,70.06236629630855,POINT (-148.69015760632146 70.06236629630855)
2022-03-04 02:48:03.951241216,435682.9918949071,7773710.049402553,33.73943374679649,0.6079624578577087,34.27666162394345,0.010124401937924783,5,0.5372278771469539,-0.07073458071075489,-148.69019081556655,70.06227738535863,POINT (-148.69019081556655 70.06227738535863)
2022-03-04 02:48:03.952651776,435681.4520596961,7773700.159511722,33.79678510672456,0.5816731744695506,34.28470739834694,0.00827694382419029,5,0.4879222916223753,-0.09375088284717525,-148.69022405330597,70.06218835697901,POINT (-148.69022405330597 70.06218835697901)
2022-03-04 02:48:03.954060032,435679.9156260757,7773690.282315758,33.79826465687776,0.5476445680032417,34.29506414246808,0.008832159950973955,5,0.4967994855903157,-0.05084508241292596,-148.69025721067317,70.06209944322572,POINT (-148.69025721067317 70.06209944322572)
2022-03-04 02:48:03.955469312,435678.3793506448,7773680.391901475,33.86674634070722,0.5653223456100349,34.334595694308035,0.00944927402768542,5,0.4678493536008119,-0.09747299200922299,-148.69029035397523,70.06201041102607,POINT (-148.69029035397523 70.06201041102607)
2022-03-04 02:48:03.956878848,435676.8475642117,7773670.514030573,33.88567836590375,0.5793302432943133,34.35311651650496,0.009344872371496268,5,0.4674381506012111,-0.11189209269310219,-148.6903233882366,70.06192149236534,POINT (-148.6903233882366 70.06192149236534)
