,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual
858,429973.1314686917,7768099.031667353,44.06839333368231,0.014101701877820743,43.745846,1,-0.32254753900457445,-0.3366492408823952
860,429940.97417449387,7767901.659556929,44.29821767731572,0.04743340910913868,44.013317,1,-0.28490056916142237,-0.33233397827056105
744,434187.02582867234,7773786.229683218,34.256603603763736,0.002930740585709873,33.99725,3,-0.25935400049225166,-0.2622847410779615
745,434170.8733052221,7773687.948548923,34.51163979618999,0.030088301297059684,34.188416,3,-0.3232242688462392,-0.3533125701432989
746,434155.27605799434,7773588.800524541,34.65741475813234,0.040180090419514716,34.344604,3,-0.3128102659448402,-0.3529903563643549
747,434139.7018886567,7773490.503124894,34.89157502133007,0.049198549771050606,34.59517,3,-0.2964059539472572,-0.3456045037183078
748,434123.52189287485,7773391.37180659,35.193312529256374,0.12469028667042212,34.896664,3,-0.29664886348489006,-0.4213391501553122
749,434107.34076901444,7773292.2406026,35.06969354261443,0.027284192135635744,34.887035,3,-0.18265817274138385,-0.2099423648770196
750,434092.3439791189,7773193.927028448,35.050162328902005,0.017276443959753682,34.901318,3,-0.14884473246645769,-0.16612117642621138
751,434076.16065356357,7773094.796044992,35.26668124873217,0.026913760500306604,35.08517,3,-0.18151050288255988,-0.2084242633828665
753,434044.3955227906,7772897.3684254205,35.47598425754042,0.006081250597005541,35.349274,3,-0.12671057589979284,-0.13279182649679838
754,434028.7895875775,7772798.221264325,35.81292103282345,0.03427061184391345,35.616096,3,-0.19682453624142227,-0.2310951480853357
755,434012.625997875,7772699.941246778,35.85277540528966,0.02594266704154362,35.68454,3,-0.16823561036778756,-0.1941782774093312
756,433997.0178856988,7772600.794302483,36.01272998958201,0.04667890831672515,36.077152,3,0.06442226261525263,0.017743354298527483
757,433981.43289783876,7772502.497981035,36.19397756065128,0.04556030790741804,36.06089,3,-0.13308736289737055,-0.1786476708047886
758,433965.2417898057,7772403.367781661,36.22742138535621,0.042117419042814394,36.143417,3,-0.08400402695777132,-0.12612144600058572
759,433949.0495538032,7772304.237696679,36.30854296350403,0.04733154502702357,36.290504,3,-0.01803850793762507,-0.06537005296464864
760,433933.46129998355,7772205.94170192,36.42909303334436,0.0102353603979018,36.38483,3,-0.04426255849084271,-0.05449791888874451
761,433917.8477557314,7772106.795297943,36.583097770501666,0.013376691408919329,36.62498,3,0.04188315601200543,0.0285064646030861
762,433901.67641631793,7772008.51606332,36.75332528165792,0.06289593959224489,36.680904,3,-0.07242089323018774,-0.13531683282243262
763,433886.0606952515,7771909.369876242,36.85877540272972,0.035934597664008305,36.861553,3,0.002777789408952458,-0.03315680825505585
764,433870.4438959392,7771810.223795817,37.01485282561775,0.02592441336415426,36.930588,3,-0.08426505706306386,-0.11018947042721812
765,433854.2692410563,7771711.9448957695,37.22921727113882,0.014415858086323922,37.160393,3,-0.0688245099083531,-0.08324036799467702
767,433822.47339323116,7771514.520356586,37.56689451914602,0.03009680618265503,37.460266,3,-0.10662840586476818,-0.13672521204742322
768,433806.27114919294,7771415.391280862,37.70929252137463,0.009248364561975296,37.648468,3,-0.06082450379650339,-0.07007286835847869
769,433790.06777729443,7771316.262319599,37.84520614798238,0.017029279594038826,37.713394,3,-0.13181198294331864,-0.14884126253735747
770,433775.04982242483,7771217.950829251,38.086551792769825,0.015867420570965223,38.070076,3,-0.016475804000293692,-0.03234322457125892
771,433758.8442492611,7771118.822088824,38.42025162782303,0.0352961823868247,38.507366,3,0.08711455259689416,0.05181837021006946
772,433742.66182079946,7771020.543976187,38.524513217172625,0.03341919083991337,38.534966,3,0.010452297964093304,-0.022966892875820065
773,433727.0352117554,7770921.398874254,38.879903959944315,0.046110492739518616,38.74083,3,-0.1390744921708773,-0.18518498491039592
774,433711.4075245705,7770822.253879044,39.09121382346321,0.024157482286747516,38.98634,3,-0.10487425437140985,-0.12903173665815737
775,433695.8030454243,7770723.959503282,39.13215060734048,0.03237320122692942,39.040802,3,-0.09134860538735268,-0.12372180661428209
776,433679.59191723994,7770624.831323093,39.35209691810779,0.020407025847225455,39.35286,3,0.0007625789625222978,-0.019644446884703157
