,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat
15,431007.5367880227,7770831.261650194,38.63928094337221,0.015370795894445654,38.07545,3,-0.5638300461554167,-0.5792008420498623,-148.81073618547168,70.03527104729494
17,431001.86867019057,7770791.674869613,38.643538555481854,0.0229444878581596,38.07741,3,-0.5661269038705257,-0.5890713917286853,-148.8108539997693,70.03491473343377
18,430999.0510878452,7770771.877894034,38.628573222820386,0.029262885898651985,38.115444,3,-0.5131290394707761,-0.5423919253694282,-148.81091247048573,70.03473654872548
19,430996.241961068,7770752.0800606785,38.63663143268653,0.013435005560012736,38.10912,3,-0.5275120174033248,-0.5409470229633375,-148.81097071777725,70.03455835856006
30,430965.15642587515,7770534.337005216,38.62925300420889,0.029457563500195044,38.08825,3,-0.5410037976659225,-0.5704613611661176,-148.81161625459092,70.03259851278685
32,430959.3565342779,7770494.767869364,38.67508067766127,0.08925438852201985,38.112,3,-0.5630811659425206,-0.6523355544645404,-148.81173750878025,70.03224232131447
33,430956.4688007656,7770474.98218487,38.74232011502153,0.0599574310313214,38.19366,3,-0.5486593789375434,-0.6086168099688648,-148.81179781320913,70.03206421879106
34,430953.5936936061,7770455.194751221,38.79064706441409,0.05294527579031306,38.453766,3,-0.33688119527346316,-0.3898264710637762,-148.81185778413808,70.0318861039327
43,430928.1203005468,7770277.045529593,39.54519470778463,0.05237451853002429,38.963444,3,-0.5817509516811157,-0.63412547021114,-148.81238687203717,70.03028261797068
44,430925.2712034874,7770257.253629421,39.701710805882406,0.06176340500967059,39.145588,3,-0.5561228847398283,-0.6178862897494989,-148.8124461474427,70.03010446979496
45,430922.42077883356,7770237.461862312,39.81717770231679,0.048022351005508716,39.294983,3,-0.5221947921605405,-0.5702171431660492,-148.81250545676804,70.0299263224362
58,430885.6836768789,7769980.127960888,40.29538096992658,0.04635766774638061,39.75306,3,-0.542321582719552,-0.5886792504659326,-148.81326800664306,70.02761012287141
59,430882.8722236046,7769960.331648653,40.439907756197755,0.02925640540197199,39.84718,3,-0.592728343355958,-0.62198474875793,-148.8133262767449,70.02743194486702
67,430859.3804566411,7769802.098561023,40.87999630776896,0.022767466230806898,40.420593,3,-0.45940304605021254,-0.4821705122810194,-148.8138187304812,70.02600748484667
69,430853.58845060767,7769762.529528117,40.95904684950021,0.019005570903073032,40.404526,3,-0.5545210926642739,-0.5735266635673468,-148.81393970329484,70.025651294753
74,430840.17307450756,7769663.452014849,41.12374144196211,0.016005432289056824,40.57099,3,-0.5527499258488291,-0.5687553581378859,-148.81421408638533,70.02475971458533
77,430832.1311242043,7769604.005139622,41.23018942489307,0.016828838272210142,40.78573,3,-0.4444609703032256,-0.4612898085754358,-148.81437851416874,70.02422476490581
79,430826.48898491706,7769564.413170481,41.344398292796164,0.0031244937462422363,40.853683,3,-0.4907148211164767,-0.4938393148627189,-148.81449552082034,70.02386840881259
81,430820.70085689245,7769524.843770214,41.414278179974005,0.009972253576268917,40.926197,3,-0.48808112797205183,-0.49805338154832074,-148.8146163681207,70.02351221595241
88,430800.2603432507,7769386.372746597,41.64932316950171,0.004232257880010523,41.111618,3,-0.5377051275095255,-0.541937385389536,-148.81504409116766,70.02226568771424
91,430791.876977118,7769326.974747556,41.73393411620887,0.012393638969839344,41.193382,3,-0.5405518530252778,-0.5529454919951171,-148.81521746600458,70.021731084101
93,430786.4927999239,7769287.346813328,41.84634690613381,0.0005972311723656978,41.373672,3,-0.47267442078224775,-0.47327165195461346,-148.81532765516778,70.02137447392391
94,430783.8221831771,7769267.529619218,41.86742371232488,0.022429332495183755,41.58019,3,-0.28723496110417557,-0.3096642935993593,-148.81538218303928,70.02119614561654
95,430781.1200335087,7769247.717393599,41.941726894162315,0.0029941474043365494,41.49797,3,-0.4437563131076274,-0.446750460511964,-148.8154375403827,70.02101785340255
99,430769.9109148215,7769168.52250357,41.986366806168604,0.008278181653953675,41.4906,3,-0.49576622023110417,-0.5040444018850578,-148.8156695002908,70.02030506150439
100,430766.9503665961,7769148.748002325,42.0100841012556,0.009424994760475086,41.50314,3,-0.506944605405991,-0.516369600166466,-148.81573165493938,70.02012703830329
101,430763.96390392614,7769128.976685197,42.05324186987424,0.01264575143962079,41.516396,3,-0.5368463010265856,-0.5494920524662064,-148.81579449023764,70.01994903669669
102,430760.96245952597,7769109.206550823,42.0941870291618,0.01626732870671667,41.665577,3,-0.42861009434734854,-0.4448774230540652,-148.81585771806564,70.01977104166583
103,430757.9467683577,7769089.439322901,42.11382867818011,0.01144362663065086,41.66698,3,-0.44684793477190965,-0.4582915614025605,-148.81592132049676,70.01959306885558
104,430754.9367727251,7769069.670134561,42.153627806700854,0.021066087665383773,41.76071,3,-0.39291613677897885,-0.4139822244443626,-148.81598477105416,70.01941507997114
112,430731.741476965,7768911.394476324,42.405850445229675,0.01693291883140114,42.16401,3,-0.24184135099139326,-0.2587742698227944,-148.81646905706268,70.01799030953104
113,430728.902538574,7768891.601165733,42.38523846009326,0.01723081111515915,42.17624,3,-0.20899944642138735,-0.2262302575365465,-148.8165279964957,70.01781214992987
114,430726.06211919617,7768871.808202416,42.48961057304258,0.025613258028327986,42.144318,3,-0.34529294608945804,-0.370906204117786,-148.81658697402173,70.01763399302402
115,430723.2220592364,7768852.016302792,42.4358916296752,0.015813484412305245,42.072334,3,-0.3635573401244159,-0.3793708245367211,-148.81664594196891,70.01745584572616
119,430711.9233642556,7768772.835035288,42.528953273576164,0.01728449122772441,42.164124,3,-0.36482973841991395,-0.38211422964763836,-148.816880180357,70.01674315025224
120,430709.11676277017,7768753.038420594,42.64483322095745,0.01670131794022071,42.309002,3,-0.3358312983500298,-0.3525326162902505,-148.81693826289143,70.01656496952745
122,430703.4768030818,7768713.447146964,42.57103972586293,0.01130264332034847,42.215954,3,-0.3550858989586345,-0.366388542278983,-148.81705512771896,70.01620861839386
124,430697.8743626494,7768673.849660645,42.597475602190556,0.012571190101406437,42.251717,3,-0.34575898842102504,-0.3583301785224315,-148.81717100059575,70.01585222151931
125,430695.0945746833,7768654.047428896,42.66657273945475,0.026825086637155472,42.298096,3,-0.36847703632975026,-0.39530212296690576,-148.81722837123354,70.01567399751109
126,430692.3280038227,7768634.24369528,42.6775469170892,0.027430148127492542,42.55038,3,-0.12716621030209296,-0.1545963584295855,-148.81728539339346,70.01549576355374
128,430686.8100728305,7768594.63514903,42.85048575162891,0.03728355676484515,42.54294,3,-0.30754751920703427,-0.3448310759718794,-148.8173990354226,70.01513928997242
129,430684.0471572584,7768574.831698295,43.02429397483691,0.03998767729869763,42.52728,3,-0.49701507469042383,-0.5370027519891215,-148.8174559591538,70.01496105946651
130,430681.27015922574,7768555.029537241,43.067976874629494,0.03763966968928973,42.75879,3,-0.309187812129494,-0.3468274818187837,-148.81751325194102,70.01478283673536
131,430678.48125046864,7768535.230102455,43.0853610338994,0.0284697673029689,42.920055,3,-0.1653056444951062,-0.19377541179807511,-148.81757085799177,70.0146046352348
132,430675.65448155545,7768515.435271501,43.18743264410763,0.056451142821201866,42.899265,3,-0.28816735480099,-0.3446184976221919,-148.81762945870915,70.01442646485634
