,x,y,lidar_height,lidar_snow_depth,is2_height,beam,residual,snow_depth_residual,lon,lat
5,430921.17494170467,7770227.707169204,39.77217065887106,0.04097919958560994,39.24779,3,-0.5243793685878586,-0.5653585681734685,-148.81253051757812,70.02983856201172
12,430821.97232652653,7769534.345608087,41.3950416955216,0.004274418109131081,40.86865,3,-0.5263931664688641,-0.5306675845779952,-148.81459045410156,70.02359771728516
15,430779.95582555456,7769237.663113143,42.022579868783325,0.020320785654666353,41.505432,3,-0.5171477398770747,-0.5374685255317411,-148.81546020507812,70.0209274291992
20,430707.5912109382,7768743.546877089,42.60756084870816,0.022210919947780704,42.28384,3,-0.3237206692648016,-0.34593158921258227,-148.81697082519534,70.0164794921875
21,430693.570680642,7768644.369832969,42.59850584656621,0.016780016738413263,42.32971,3,-0.2687977472009777,-0.285577763939391,-148.8172607421875,70.01558685302736
22,430680.1310349651,7768545.1755242525,43.1270183094294,0.03314004499320299,42.83856,3,-0.28846011240791825,-0.32160015740112124,-148.81753540039062,70.01469421386719
0,434406.6182668329,7771606.892716706,37.447640799500704,0.022342101629490622,37.395428,5,-0.052213095643281804,-0.07455519727277243,-148.72215270996094,70.04310607910156
1,434392.18466726865,7771507.710381972,37.6113634469823,0.007591631666981184,37.590103,5,-0.021260297568240105,-0.02885192923522129,-148.7224578857422,70.04221343994139
2,434378.33118115313,7771408.511711332,37.853102791902586,0.03583597645033187,37.70844,5,-0.14466391861157035,-0.18049989506190223,-148.72274780273438,70.04132080078125
3,434363.89564843907,7771309.329556675,38.02900284646204,0.024201096331412188,37.99496,5,-0.03404206154993261,-0.0582431578813448,-148.72305297851562,70.0404281616211
5,434335.04570283054,7771111.816041499,38.513189315768464,0.028601162574163536,38.486946,5,-0.026243209811433132,-0.05484437238559667,-148.72366333007812,70.0386505126953
8,434292.9139207377,7770815.088299732,38.2137680244015,0.02094505843293746,38.051304,5,-0.16246416087611237,-0.18340921930904983,-148.72454833984375,70.03598022460936
9,434278.47257219855,7770715.906688597,38.2166986414354,0.008001974391685152,38.000748,5,-0.21595096077133746,-0.22395293516302262,-148.724853515625,70.03508758544922
11,434249.5869383538,7770517.543741861,38.197107441975284,0.0526842375039785,38.11421,5,-0.08289922053973697,-0.13558345804371547,-148.7254638671875,70.0333023071289
13,434221.8842083654,7770319.998747949,38.647557286648706,0.05521213968652856,38.527485,5,-0.12007239284987747,-0.17528453253640602,-148.72604370117188,70.03152465820311
15,434193.01494806615,7770122.487038532,39.2943477571475,0.049572444182461935,39.373398,5,0.07905007000093889,0.029477625818476953,-148.72665405273438,70.02974700927734
16,434179.148244582,7770023.28958673,40.10228175775711,0.04185118010620697,40.14418,5,0.04189854009445071,4.73599882437406e-05,-148.7269439697266,70.02885437011719
17,434165.280611926,7769924.092219909,40.33607564621873,0.02293545890499749,40.269585,5,-0.06649099045701234,-0.08942644936200983,-148.72723388671875,70.02796173095703
18,434150.8305610078,7769824.9114211,40.615092812925944,0.012843330887487346,40.732628,5,0.11753505572639966,0.10469172483891231,-148.7275390625,70.02706909179686
19,434136.37953124987,7769725.730714188,40.635382615538006,0.007468856057992027,40.66783,5,0.032448805360431265,0.024979949302439238,-148.72784423828125,70.02617645263672
20,434122.5331785154,7769627.384125101,40.849181260952165,0.04491508091894427,40.928955,5,0.07977381717283549,0.03485873625389122,-148.72813415527344,70.02529144287108
21,434108.0802200668,7769528.203598286,40.94569737736556,0.03882844019133925,40.9229,5,-0.022796223801108795,-0.061624663992448044,-148.7284393310547,70.02439880371094
22,434093.62628280715,7769429.023163383,40.907248018466746,0.10847021967645801,41.059734,5,0.15248632601567635,0.04401610633921835,-148.72874450683594,70.02350616455077
24,434065.9028808877,7769231.480076709,41.61529947714169,0.02470047088718374,41.687588,5,0.0722882608954194,0.04758779000823566,-148.7293243408203,70.021728515625
25,434051.4460610511,7769132.2999103395,42.010145307498476,0.029368981438158217,42.116226,5,0.10608088879058641,0.0767119073524282,-148.72962951660156,70.02083587646484
26,434036.98826244136,7769033.119835905,41.878427126232154,0.05587686218817122,41.97917,5,0.10074462669753359,0.04486776450936237,-148.7299346923828,70.01994323730469
27,434023.11119731376,7768933.923339104,41.91585535244121,0.05887181892981794,42.019573,5,0.10371785922870913,0.04484604029889119,-148.730224609375,70.01905059814453
28,434008.67561541894,7768835.593959588,42.02756147955621,0.06440801909277731,41.95682,5,-0.0707400379058214,-0.13514805699859872,-148.73052978515625,70.01816558837889
29,433994.2149095057,7768736.414157285,41.96704746736299,0.04710503379162505,42.01972,5,0.052670702803027325,0.005565669011402277,-148.7308349609375,70.01727294921875
30,433980.3350114117,7768637.217922201,41.904573276098084,0.060503189087842336,41.9835,5,0.07892815822808785,0.018424969140245516,-148.7311248779297,70.0163803100586
31,433965.8965344159,7768538.888814307,41.88929046741538,0.01970951751390393,41.875904,5,-0.013386384163425191,-0.03309590167732912,-148.73143005371094,70.01549530029297
32,433952.0147573061,7768439.692752542,41.925093576163356,0.017884186734724552,41.76359,5,-0.16150180980593376,-0.17938599654065832,-148.73171997070315,70.01460266113281
33,433937.55019030743,7768340.513310866,41.988905361742695,0.0257062499840016,41.90179,5,-0.0871147428462109,-0.1128209928302125,-148.73202514648438,70.01371002197264
34,433923.0846446108,7768241.333961172,41.97942532610958,0.028325352543824102,41.966103,5,-0.013322726011921304,-0.041648078555745406,-148.73233032226562,70.0128173828125
35,433909.22420835827,7768142.988674683,42.983102647780754,0.05656266392645606,43.020412,5,0.037309797287605306,-0.01925286663885075,-148.7326202392578,70.01193237304686
36,433894.75673425343,7768043.809505256,43.407950039248746,0.033969391862327974,43.42993,5,0.021981601376253934,-0.01198779048607404,-148.7329254150391,70.0110397338867
37,433880.28828148113,7767944.630427829,43.610586794066606,0.060125039813679025,43.319992,5,-0.2905947286369184,-0.3507197684505974,-148.7332305908203,70.01014709472656
38,433866.40083489474,7767845.434889893,43.75020389144255,0.060677964866431074,43.710167,5,-0.04003696029020887,-0.10071492515663993,-148.7335205078125,70.0092544555664
39,433823.59300449514,7767548.732424374,44.076293888150346,0.016785647500840165,44.06255,5,-0.013744297085892754,-0.03052994458673292,-148.7344207763672,70.00658416748047
40,433809.7017963077,7767449.537233457,44.291810031585456,0.035093936976429776,44.126656,5,-0.16515445297217468,-0.20024838994860444,-148.73471069335938,70.00569152832031
41,433795.2517602586,7767351.209209215,44.37211457938008,0.011181656286165995,44.529243,5,0.15712888985819973,0.14594723357203374,-148.73501586914062,70.00480651855469
42,433781.3586732783,7767252.014191748,44.51709959904686,0.019728206579208245,44.424984,5,-0.09211562077537394,-0.11184382735458219,-148.7353057861328,70.00391387939452
43,433767.464657383,7767152.819259413,44.6827512485722,0.02729254165358475,44.514614,5,-0.1681371433475931,-0.19542968500117786,-148.735595703125,70.00302124023438
44,433752.98752944526,7767053.640992217,44.808437566772994,0.02151067882553844,44.729916,5,-0.07852194787651001,-0.10003262670204846,-148.73590087890625,70.00212860107422
45,433738.5336488867,7766955.313328201,45.02928859017098,0.043695629550721204,44.997448,5,-0.03184062264168119,-0.0755362521924024,-148.7362060546875,70.0012435913086
46,433724.6368005254,7766856.118657879,45.4155328837917,0.06728140176345779,45.291336,5,-0.12419682422138578,-0.19147822598484357,-148.73649597167972,70.00035095214842
47,433710.1567658518,7766756.940663156,45.58690939550881,0.06174593872431824,45.500237,5,-0.08667288427834308,-0.14841882300266132,-148.73680114746094,69.9994583129883
48,433695.6757526323,7766657.762760506,45.90732984000395,0.056400397805988586,45.816944,5,-0.09038571768950021,-0.1467861154954888,-148.7371063232422,69.99856567382812
49,433681.80030998524,7766559.418862826,45.99050858732289,0.023246006922402,46.00411,5,0.013599841632185417,-0.009646165290216585,-148.73739624023438,69.99768066406249
50,433667.8997003931,7766460.224539742,46.21119464056051,0.02553554280743925,46.22514,5,0.013944977359415134,-0.011590565448024115,-148.73768615722656,69.99678802490234
