time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,land_cover_value,land_cover
2022-12-05 00:54:30.559029504,434951.8041334765,7766119.741507677,45.21337419557318,0.01884614578359425,45.37897837341293,0.011599990099854436,-0.011632079566802457,1,0.16560417783974657,0.14675803205615232,51.0,Shrub
2022-12-05 00:54:30.560432640,434950.83312490344,7766129.690126409,45.20495757282595,0.04307867319433598,45.31830673760902,0.01177434094187861,-0.005396623641513793,1,0.11334916478307377,0.0702704915887378,51.0,Shrub
2022-12-05 00:54:30.561837824,434949.8594681312,7766139.6528357845,45.12687492153208,0.04217918654485908,45.278758271495626,0.009990307004925795,-0.005619280685302493,1,0.1518833499635477,0.1097041634186886,51.0,Shrub
2022-12-05 00:54:30.564645120,434947.9094893632,7766159.563668406,45.01822098914741,0.01937150907611279,45.153768541438225,0.00937683039770601,-0.005941478349903421,1,0.1355475522908165,0.1161760432147037,51.0,Shrub
2022-12-05 00:54:30.566044928,434946.932639093,7766169.511731652,44.991197755512886,0.014822959076772495,45.1015555779661,0.009504556269885034,-0.003365190324488732,1,0.11035782245321712,0.09553486337644462,51.0,Shrub
2022-12-05 00:54:30.567447296,434945.95222891076,7766179.473788363,44.96085438749479,0.00499090028219718,45.0895402375231,0.009392731856078874,0.0015885509768112235,1,0.12868585002831168,0.1236949497461145,51.0,Shrub
2022-12-05 00:54:30.568847616,434944.97132647544,7766189.42150567,44.89927429474875,0.010383489344119538,45.07946407924375,0.010486624610293765,-0.0025337307967184058,1,0.18018978449499912,0.16980629515087958,51.0,Shrub
2022-12-05 00:54:30.570250240,434943.9872373076,7766199.383209375,44.87854785229804,0.019077793686169835,45.066062015613255,0.010463930275785434,-0.0006395479364369988,1,0.18751416331521398,0.16843636962904415,51.0,Shrub
2022-12-05 00:54:30.571649536,434943.00276242784,7766209.3305317275,44.875198523475916,0.03226988013851363,45.06239158221552,0.009367127883979174,-0.0017925902925279436,1,0.18719305873960224,0.15492317860108862,51.0,Shrub
2022-12-05 00:54:30.573052672,434942.01547808264,7766219.291930697,44.827438343596214,0.0360609818137178,45.03412511600121,0.009363667614176787,-0.004116612928565102,1,0.20668677240499989,0.17062579059128208,51.0,Shrub
2022-12-05 00:54:30.574451968,434941.0283213395,7766229.2390608145,44.80814563620423,0.010038266394146364,45.00121716189988,0.010429162534731595,-0.001655260181795925,1,0.19307152569565034,0.18303325930150396,51.0,Shrub
2022-12-05 00:54:30.575854848,434940.03906344814,7766239.200250736,44.803281753115954,0.04367926787207776,44.98411394992709,0.01080498901436559,5.365033800990651e-05,1,0.1808321968111386,0.13715292893906084,51.0,Shrub
2022-12-05 00:54:30.577256448,434939.0550874035,7766249.1476814365,44.810199948804595,0.03678409525326345,44.992133331889605,0.00981859663737091,0.0031329083569304954,1,0.18193338308500984,0.14514928783174638,51.0,Shrub
2022-12-05 00:54:30.580064512,434937.0537607551,7766269.053622219,44.786074098755805,0.0782754645423005,44.98567655655012,0.009590034605692377,-0.0013099523993471993,1,0.19960245779431318,0.12132699325201268,51.0,Shrub
